"Facility","Permit Number","Permit Type","Status","Permittee","Location","City","County","Issuance","Permit Id","Facility Id","Latitude","Longitude","Zip","Application To Nco","Activity","Site Id"
"Job Site Recycling of Tennessee, LLC","SWP600001417","PROCESSING","Termination","JOB SITE RECYCLING OF TENNESSEE, LLC","2617 Harlan Farm Rd","Columbia","Maury","APR-08-2009","1176","SWP600001417","35.652967","-87.122611","38401","-","C&D waste recycling","4045"
"McMinnville Highway South Convenience Center","CCC210000535","CONVENIENCE","Active","DEKALB COUNTY GOVERNMENT","4201 McMinnville Highway","Smithville","DeKalb","APR-13-2009","129","CCC210000535","35.90218","-85.812821","-","-","-","49103"
"Summitt Tire Storage","TSF330001150","TIRE STORAGE","Inactive","CITY OF CHATTANOOGA","Woodland Drive","Ooltewah","Hamilton","JUL-16-1993","1392","TSF330001150","35.050402","-85.087451","37363","-","TIRE STORAGE","9256"
"Hardin County Tire Storage","TSF360001203","TIRE STORAGE","Active","HARDIN COUNTY","25 Landfill Lane","Savannah","Hardin","APR-25-1995","1393","TSF360001203","35.262704","-88.151648","-","-","TIRE STORAGE","45563"
"Henry County Tire Storage","TSF400001109","TIRE STORAGE","Active","HENRY COUNTY","E Of Indus'L Pk Rd, S Plumly Indust","-","Henry","SEP-14-1992","1394","TSF400001109","-","-","-","-","-","47676"
"Turney Industrial Tire Storage","TSF410001166","TIRE STORAGE","Inactive","TBD","Turney Center Industrial Prison
1499 R. W. Moore Memorial Highway
R.T. 1","Only","Hickman","JUL-13-1994","1395","TSF410001166","35.830552","-87.690994","37140","-","TIRE SHREDDING/STORAGE","9399"
"Jackson County Tire Storage","TSF440001173","TIRE STORAGE","Active","JACKSON COUNTY","Across County Hwy Dept, At Landfill","-","Jackson","MAR-08-1994","1396","TSF440001173","36.35551","-85.64356","-","-","TIRE STORAGE @ LF","47679"
"Tenn. Dept. Of Correction Mountain City Tire Processing","TSF460001164","TIRE STORAGE","Inactive","TBD","5249 Hwy 67 West","Mountain City","Johnson","MAR-28-1994","1397","TSF460001164","36.445383","-81.886013","37683","-","TIRE SHREDDING/STORAGE","18340"
"Johnson County Industrial Park Tire Stg","TSF460001324","TIRE STORAGE","Active","JOHNSON COUNTY GOVERNMENT","398 Industrial Park Drive","Mountain City","Johnson","MAY-02-2001","1398","TSF460001324","36.446813","-81.8809","-","-","TIRE STORAGE","47680"
"Tn Correction Lauderdale","TSF490001163","TIRE STORAGE","Inactive","DEPARTMENT OF CORRECTIONS","Cold Crk Corr'Al Facility, Henning","-","Lauderdale","MAR-25-1994","1399","TSF490001163","-","-","-","-","TIRE SHREDDING/STORAGE","52099"
"Robert Wallace Bradford Tire Storage","TSF510001148","TIRE STORAGE","Inactive","TBD","301 North Oak St","Hohenwald","Lewis","NOV-29-1993","1400","TSF510001148","-","-","-","-","TIRE SORTER/STORAGE","52100"
"Fayetteville Lincoln Tire","TSF520001206","TIRE STORAGE","Inactive","CITY OF FAYETTEVILLE","37 Burklin Street","Fayetteville","Lincoln","JUN-28-1995","1401","TSF520001206","35.15924","-86.55062","37334","-","TIRE STORAGE","20081"
"Northwest Tennessee Disposal Corporation","TSF660001312","TIRE STORAGE","Inactive","NORTHWEST TENNESSEE DISPOSAL CORPORATION","518 Beech Chapel Road","Union City","Obion","JUN-26-2000","1402","TSF660001312","36.40274","-89.1518","38261","-","TIRE STORAGE FACILITY","2166"
"Obion County Tire Storage Facility","TSF660001367","TIRE STORAGE","Active","OBION COUNTY GOVERNMENT","Obion","Union City","Obion","JUN-25-2003","1403","TSF660001367","-","-","-","-","-","51987"
"Overton County Tire Storage","TSF670001144","TIRE STORAGE","Active","OVERTON COUNTY GOVERNMENT","245 Industrial Park Drive","Livingston","Overton","APR-22-1993","1404","TSF670001144","36.351812","-85.328602","-","-","TIRE SHREDDING/STORAGE","47880"
"Sequatchie County Tire Storage","TSF770001315","TIRE STORAGE","Active","SEQUATCHIE COUNTY GOVERNMENT","Highway 127","Pikeville","Sequatchie","AUG-07-2000","1405","TSF770001315","-","-","-","-","TIRE STORAGE","50597"
"Warren County Tire Storage","TSF890001136","TIRE STORAGE","Inactive","WARREN COUNTY","Fairg'Unds Pro'Rty, New Smithvl Hwy","-","Warren","FEB-23-1993","1406","TSF890001136","-","-","-","-","TIRE STORAGE","52098"
"Bowser Ridge Tire Storage Site","TSF900001270","TIRE STORAGE","Active","CITY OF JOHNSON CITY","192 Lancaster Road","-","Washington","NOV-07-1997","1407","TSF900001270","36.425085","-82.534929","-","-","-","47904"
"Wayne County Tire Storage Facility","TSF910001278","TIRE STORAGE","Inactive","WAYNE COUNTY GOVERNMENT","PO Box 206","WAYNESBORO","Wayne","JAN-20-1998","1408","TSF910001278","-","-","-","-","TIRE STORAGE PROCESSOR","42414"
"Homeland Environmental Services","TRF330001413","TRANSFER","Inactive","HOMELAND ENVIRONMENTAL SERVICES","306 Workman Road","Chattanooga","Hamilton","MAR-16-2009","1308","TRF330001413","34.997808","-85.311731","37410","-","-","44323"
"Sullivan County Transfer Station, Bristol","TRF820000073","TRANSFER","Active","SULLIVAN COUNTY GOVERNMENT","804 Raytheon Road","Bristol","Sullivan","JUL-12-1990","1364","TRF820000073","36.548292","-82.18483","-","-","-","47837"
"Sullivan County Transfer Station, Kingsport","TRF820000077","TRANSFER","Active","SULLIVAN COUNTY GOVERNMENT","2119 Brookside Lane","Kingsport","Sullivan","NOV-07-1990","1365","TRF820000077","36.556972","-82.513278","-","-","-","47838"
"Waste Management Of Tri-Cities","TRF820001066","TRANSFER","Active","WASTE MANAGEMENT OF TRI-CITIES","1010  Jericho (formerly Sam Walton) Drive","Kingsport","Sullivan","APR-24-1991","1366","TRF820001066","36.510951","-82.427673","37664","-","-","7969"
"Rasco Transfer Station","TRF830000191","TRANSFER","Active","RESOURCE AUTHORITY IN SUMNER COUNTY","625 Rappahanock Wire Rd","Gallatin","Sumner","AUG-17-1992","1367","TRF830000191","36.339444","-86.403611","37066","-","RECYCLING INCINERATOR TIRE STORAGE MSW","7756"
"Barker Brothers Waste Inc","TRF840001179","TRANSFER","Termination","BFI WASTE SYSTEMS OF NORTH AMERICA LLC","785 East Street","Covington","Tipton","DEC-09-1994","1368","TRF840001179","35.555406","-89.641636","38019","-","Closure Inspection completed 25-Sep-09, but Republic Services did not notify TDEC until 17-Nov-11.","10341"
"Best Disposal Service Transfer Station","TRF880001411","TRANSFER","Active","BEST DISPOSAL SERVICE TRANSFER STATION","326 Pine Grove Rd","Spencer","Van Buren","FEB-13-2008","1369","TRF880001411","35.734496","-85.453034","-","-","-","47882"
"Mcminnville Transfer Station","TRF890001062","TRANSFER","Active","CITY OF MCMINNVILLE","Sunset Point Road","McMinnville","Warren","APR-15-1991","1370","TRF890001062","35.66445","-85.76432","37110","-","-","27577"
"Johnson City Transfer Station","TRF900000234","TRANSFER","Inactive","CITY OF JOHNSON CITY","91 New Street","Johnson City","Washington","JUL-12-1990","1371","TRF900000234","36.323028","-82.347083","-","-","-","52101"
"Wayne County Solid Waste Facility","TRF910001004","TRANSFER","Active","WAYNE COUNTY GOVERNMENT","412 Hog Creek Road","Waynesboro","Wayne","JUL-25-1990","1372","TRF910001004","35.307194","-87.772611","-","-","BALING TRANSFER STATION TIRE SHREDDING","48015"
"City Of Sparta Transfer Station","TRF930000043","TRANSFER","Active","CITY OF SPARTA","167 South Carter Street","Sparta","White","JUL-12-1990","1373","TRF930000043","35.922056","-85.467778","38583","-","-","48979"
"Franklin Transfer Station","TRF940000109","TRANSFER","Inactive","TBD","405 Hillsboro Road","Franklin","Williamson","JUL-12-1990","1374","TRF940000109","35.928889","-86.8675","-","-","-","52102"
"Williamson County Solid Waste Transfer Station","TRF940001274","TRANSFER","Active","WILLIAMSON COUNTY GOVERNMENT","5750 Pinewood Rd.","Franklin","Williamson","SEP-03-1998","1375","TRF940001274","35.885278","-87.085278","37064","-","-","8730"
"City Of Franklin Transfer Station","TRF940001357","TRANSFER","Active","CITY OF FRANKLIN","411 Century Court","Franklin","Williamson","MAR-26-2003","1376","TRF940001357","35.898032","-86.882063","-","-","-","48980"
"Jewell Disposal Transfer","TRF950000154","TRANSFER","Inactive","TBD","Suggs Creek","-","Wilson","APR-10-1979","1377","TRF950000154","-","-","-","-","CONVENIENCE TRANSFER","52103"
"Jewell Disposal Transfer","TRF950000161","TRANSFER","Inactive","TBD","Leeville","Leeville","Wilson","FEB-15-1980","1378","TRF950000161","-","-","-","-","CONVENIENCE TRANSFER","52104"
"Jewell Disposal Service","TRF950000175","TRANSFER","Inactive","TBD","E Lebanon Bypass, Nw Of Fairgrounds","-","Wilson","AUG-06-1981","1379","TRF950000175","-","-","-","-","CONVENIENCE TRANSFER","52105"
"Jewell Disposal Service","TRF950000188","TRANSFER","Inactive","TBD","Hwy 231, S. I-40, Bairds Mill","-","Wilson","NOV-23-1982","1380","TRF950000188","-","-","-","-","CONVENIENCE TRANSFER","52106"
"Anderson County Tire Storage Facility","TSF010001153","TIRE STORAGE","Active","ANDERSON COUNTY GOVERNMENT","140 Fleenor Mill Road","Heiskell","Anderson","OCT-15-1993","1381","TSF010001153","36.115302","-84.032241","37754","-","TIRE SHREDDING/STORAGE","7967"
"Bedford County Tire Facility","TSF020001126","TIRE STORAGE","Active","BEDFORD COUNTY GOVERNMENT","Highway 82 South","Shelbyville","Bedford","DEC-04-1992","1382","TSF020001126","-","-","-","-","TIRES SPECIAL WASTE BATTERIES TIRE STORAGE","50598"
"Benton County Waste Tire Site","TSF030001327","TIRE STORAGE","Active","BENTON COUNTY GOVERNMENT","1590 Mt. Carmel Road","Camden","Benton","DEC-17-2001","1383","TSF030001327","36.057222","-88.141389","-","-","-","47909"
"Tennessee Dept. Of Correction Waste Tire Site","TSF040001140","TIRE STORAGE","Inactive","TENNESSEE DEPT. OF CORRECTION","1045 Horsehead Road","Pikeville","Bledsoe","MAR-18-1993","1384","TSF040001140","35.7375","-85.25","37367","-","TIRE SHREDDING/STORAGE","5454"
"Bradley County Tire Storage Facility","TSF060001170","TIRE STORAGE","Active","BRADLEY COUNTY GOVERNMENT","282 Natures Trail","McDonald","Bradley","FEB-28-1994","1385","TSF060001170","35.15662","-84.9588","37353","-","TIRE STORAGE","8191"
"Carroll County Waste Tire Storage","TSF090001177","TIRE STORAGE","Inactive","CARROLL COUNTY GOVERNMENT","Tower RoadTower Road","Huntingdon","Carroll","MAY-09-1994","1386","TSF090001177","-","-","-","-","TIRE STORAGE","52107"
"Chester Co Tire Storage","TSF120001151","TIRE STORAGE","Active","CHESTER COUNTY","315 Talley Store Road","Henderson","Chester","AUG-10-1993","1387","TSF120001151","35.449186","-88.596621","-","-","TIRE STORAGE/@ CLOSED LF","49001"
"Coffee County Tire Storage","TSF160001154","TIRE STORAGE","Inactive","COFFEE COUNTY","Industrial Park, Arnold Center/Hillsboro","-","Coffee","SEP-14-1993","1388","TSF160001154","-","-","-","-","TIRE STORAGE","52108"
"Tennessee Dept. Of Correction Waste Tire Site","TSF190001139","TIRE STORAGE","Inactive","TENNESSEE DEPT. OF CORRECTION","Tn State Penitentiary, Centennial Blvd","Nashville","Davidson","MAR-25-1993","1389","TSF190001139","-","-","-","-","TIRE SHREDDING/STORAGE","52109"
"Fentress Co Tire Storage","TSF250001180","TIRE STORAGE","Inactive","TBD","Airport Road ","-","Fentress","JUN-01-1994","1390","TSF250001180","36.358472","-84.939353","-","-","TIRE STORAGE","47744"
"Fentress County Government","TSF250001206","TIRE STORAGE","Inactive","FENTRESS COUNTY TIRE STORAGE","Airport Road ","-","Fentress","APR-12-1995","1391","TSF250001206","36.358472","-84.939353","-","-","-","47744"
"Clarksville City Transfer","TRF630000157","TRANSFER","Inactive","TBD","1230 Highway Drive","Clarksville","Montgomery","SEP-01-1979","1337","TRF630000157","36.5155","-87.336667","-","-","-","51559"
"Waste Management Tennessee Clarksville","TRF630001146","TRANSFER","Active","WASTE MANAGEMENT, INC. OF TENNESSEE","881 Alfred Thun Rd.","Clarksville","Montgomery","JUN-16-1993","1338","TRF630001146","36.583611","-87.264444","37013","-","-","7970"
"Morgan County Flat Fork Transfer Station","TRF650001254","TRANSFER","Active","MORGAN COUNTY GOVERNMENT","Flat Fork Road","-","Morgan","MAR-28-2000","1339","TRF650001254","36.032775","-84.554818","-","-","TRANSFER","47852"
"Advanced Recycling, Llc","TRF660001152","TRANSFER","Inactive","ADVANCED RECYCLING, LLC","1341 N. Tennessee 51 South","Union City","Obion","NOV-22-1993","1340","TRF660001152","36.37779","-89.11926","38261","-","RECYCLING WOOD PAPER COMPOSTING TRANSFER STATION","10342"
"Atlantic Industrial Services","TRF470001488","TRANSFER","Active","Stericycle, Inc.","1525 Sterchi Street","Knoxville","Knox","JUN-10-2014","3068","TRF470001488","35.975","-83.953889","37921","MAY-29-2014","Medical waste (non-hazardous pharmaceutical) and garbage storage and transfer.","14993"
"Wolf Creek Convenience Center","CCC720000208","CONVENIENCE","Active","RHEA COUNTY","Hwy. 68, Approx 2 Miles E. Of Us 27","-","Rhea","JAN-24-1995","409","CCC720000208","35.646389","-84.856389","-","-","CONVENIENCE","51539"
"Landfill Convenience Center","CCC720000284","CONVENIENCE","Active","RHEA COUNTY","Smyrna Road","Evensville","Rhea","JUN-07-1995","410","CCC720000284","35.560833","-84.908889","37332","-","CONVENIENCE RECYCLING","37245"
"Back Valley Road Convenience Center","CCC720000434","CONVENIENCE","Active","RHEA COUNTY","Back Valley Road","-","Rhea","DEC-04-1998","411","CCC720000434","35.5925","-84.935556","-","-","CONVENIENCE","51540"
"Rattan Convenience Center","CCC720000452","CONVENIENCE","Active","RHEA COUNTY","Double S Road","-","Rhea","AUG-22-2000","412","CCC720000452","35.480887","-84.95469","-","-","CONVENIENCE","51541"
"Grandview Convenience Center","CCC720000456","CONVENIENCE","Inactive","RHEA COUNTY","5514 Highway 68","-","Rhea","APR-05-2001","413","CCC720000456","35.747927","-84.843743","-","-","CONVENIENCE","51542"
"Grandview Convenience Center","CCC720000464","CONVENIENCE","Active","RHEA COUNTY GOVERNMENT","5514 Highway 68","-","Rhea","AUG-07-2001","414","CCC720000464","35.747927","-84.843743","-","-","-","51542"
"Blair Convenience Center","CCC730000218","CONVENIENCE","Termination","ROANE COUNTY","Blair Community, Rays Park Road, Oliver Springs","-","Roane","JAN-31-1995","415","CCC730000218","35.974978","-84.409963","-","-","CONVENIENCE","51543"
"Blue Springs Convenience Center","CCC730000219","CONVENIENCE","Active","ROANE COUNTY","River Road, Kingston","-","Roane","JAN-31-1995","416","CCC730000219","35.73909","-84.665697","-","-","CONVENIENCE","51544"
"Bradbury Convenience Center","CCC730000220","CONVENIENCE","Active","ROANE COUNTY","Bradbury Community, Kingston","-","Roane","JAN-31-1995","417","CCC730000220","35.87247","-84.383041","-","-","CONVENIENCE","51545"
"Cave Creek Convenience Center","CCC730000221","CONVENIENCE","Active","ROANE COUNTY","New Midway Road, Kingston","-","Roane","JAN-31-1995","418","CCC730000221","35.8242","-84.381209","-","-","CONVENIENCE","51546"
"Clax Gap Convenience Center","CCC730000222","CONVENIENCE","Active","ROANE COUNTY","Clax Gap Road, Harriman","-","Roane","JAN-31-1995","419","CCC730000222","35.955415","-84.467273","-","-","CONVENIENCE","51547"
"Gallaher Road Convenience Center","CCC730000223","CONVENIENCE","Active","ROANE COUNTY","North Gallaher Road, Kingston","-","Roane","JAN-31-1995","420","CCC730000223","35.903939","-84.39912","-","-","CONVENIENCE","51548"
"Glen Alice Convenience Center","CCC730000224","CONVENIENCE","Active","ROANE COUNTY","Hwy 27 S, Glen Alice Comm, Rockwood","-","Roane","JAN-31-1995","421","CCC730000224","35.808519","-84.737498","-","-","CONVENIENCE","51549"
"Lawnville Convenience Center","CCC730000225","CONVENIENCE","Inactive","ROANE COUNTY","Lawnville Road","Kingston","Roane","JAN-31-1995","422","CCC730000225","35.873611","-84.4975","-","-","CONVENIENCE","54014"
"Orchard View Convenience Center","CCC730000226","CONVENIENCE","Active","ROANE COUNTY","Orchard View Comm, Oliver Springs","-","Roane","JAN-31-1995","423","CCC730000226","35.994032","-84.375368","-","-","CONVENIENCE","51550"
"Paint Rock Convenience Center","CCC730000227","CONVENIENCE","Active","ROANE COUNTY","Paint Rock Comm, Kingston","-","Roane","JAN-31-1995","424","CCC730000227","35.747717","-84.514003","-","-","CONVENIENCE","51551"
"Post Oak Convenience Center","CCC730000228","CONVENIENCE","Active","ROANE COUNTY","Post Oak Rd","Rockwood","Roane","JAN-31-1995","425","CCC730000228","35.875662","-84.622123","-","-","CONVENIENCE","51552"
"Madisonville Convenience Center","CCC620000283","CONVENIENCE","Active","CITY OF MADISONVILLE","Hwy 411, Madisonville Industrial Park","Madisonville","Monroe","JUN-05-1995","357","CCC620000283","35.520833","-84.3625","-","-","CONVENIENCE RECYCLING  NEWSPAPERS CARDBOARD","51553"
"Sweetwater Convenience Center","CCC620000307","CONVENIENCE","Active","MONROE COUNTY","Fork Creek Community Center","-","Monroe","SEP-11-1995","358","CCC620000307","35.599737","-84.366735","-","-","CONVENIENCE RECYCLING","51554"
"Tellico Plains Convenience Center","CCC620000318","CONVENIENCE","Active","MONROE COUNTY","8815 Hwy 68","Tellico Plains","Monroe","NOV-06-1995","359","CCC620000318","35.361111","-84.293056","-","-","CONVENIENCE RECYCLING","51555"
"Monroe County Convenience Center","CCC620000391","CONVENIENCE","Active","MONROE COUNTY","570 Little Notchy Creek Road","-","Monroe","NOV-12-1996","360","CCC620000391","35.49381","-84.28631","-","-","CONVENIENCE FOOD TIRES","51556"
"Round Pond Convenience Center","CCC630000049","CONVENIENCE","Inactive","BI-COUNTY SOLID WASTE MANAGEMENT SYSTEM (PETE REED, DIRECTOR)","Intersection Of Old & New Hwy 48 - 13","-","Montgomery","JAN-28-1994","361","CCC630000049","36.441024","-87.369611","-","-","CONVENIENCE","51557"
"Sango Convenience Center","CCC630000050","CONVENIENCE","Active","BI-COUNTY SOLID WASTE MANAGEMENT SYSTEM (PETE REED, DIRECTOR)","Quail Hollow Road, Off Hwy 41A","-","Montgomery","JAN-28-1994","362","CCC630000050","36.49935","-87.23253","-","-","CONVENIENCE","51558"
"Transfer Station Convenience Center","CCC630000051","CONVENIENCE","Termination","BI-COUNTY SOLID WASTE MANAGEMENT SYSTEM (PETE REED, DIRECTOR)","1230 Highway Drive","Clarksville","Montgomery","JAN-28-1994","363","CCC630000051","36.5155","-87.336667","-","-","CONVENIENCE","51559"
"Fredonia Convenience Center","CCC630000052","CONVENIENCE","Active","BI-COUNTY SOLID WASTE MANAGEMENT SYSTEM (PETE REED, DIRECTOR)","Highway 12 & Old Clarksville Pike","-","Montgomery","JAN-28-1994","364","CCC630000052","36.436449","-87.216663","-","-","CONVENIENCE","51560"
"Palmyra Convenience Center","CCC630000053","CONVENIENCE","Active","BI-COUNTY SOLID WASTE MANAGEMENT SYSTEM (PETE REED, DIRECTOR)","Canaan-Shiloh Road & Buck Smith Hill Road","-","Montgomery","JAN-28-1994","365","CCC630000053","36.404548","-87.491595","-","-","CONVENIENCE","51561"
"St Bethlehem Convenience Center","CCC630000054","CONVENIENCE","Active","BI-COUNTY SOLID WASTE MANAGEMENT SYSTEM (PETE REED, DIRECTOR)","Highway 79, North Of Arcada Blvd","-","Montgomery","JAN-28-1994","366","CCC630000054","36.609603","-87.257535","-","-","CONVENIENCE","51562"
"Southside Convenience Center","CCC630000055","CONVENIENCE","Inactive","BI-COUNTY SOLID WASTE MANAGEMENT SYSTEM (PETE REED, DIRECTOR)","Southside Road And Highway 48","Clarksville","Montgomery","JAN-28-1994","367","CCC630000055","36.385759","-87.382319","-","-","CONVENIENCE","54019"
"Woodlawn Convenience Center","CCC630000056","CONVENIENCE","Active","BI-COUNTY SOLID WASTE MANAGEMENT SYSTEM (PETE REED, DIRECTOR)","Hwy 79, S. 10 Miles Past New Providence","Fort Campbell","Montgomery","JAN-28-1994","368","CCC630000056","36.538334","-87.543825","-","-","CONVENIENCE","51563"
"Bargepoint Road Convenience Center","CCC630000372","CONVENIENCE","Active","BI-COUNTY SOLID WASTE MANAGEMENT SYSTEM (PETE REED, DIRECTOR)","Bargepoint Road","Clarksville","Montgomery","MAY-02-1996","369","CCC630000372","36.545306","-87.395694","-","-","CONVENIENCE RECYCLING YARD WASTE USED OIL","51564"
"Outlaw Field/Tiny Town Road Convenience Center","CCC630000462","CONVENIENCE","Termination","BI-COUNTY SOLID WASTE MANAGEMENT SYSTEM (PETE REED, DIRECTOR)","Intersection Of Outlaw Field Road And Tiny Town Road","Clarksville","Montgomery","JUL-09-2001","370","CCC630000462","36.631641","-87.422038","-","-","Compactor trash container for trash disposal and drop-off recycling center","51565"
"Hwy 48/Louise Ck. Rd. Convenience Center","CCC630000470","CONVENIENCE","Active","BI-COUNTY SOLID WASTE MANAGEMENT (PETE REED, DIRECTOR)","Intersection Of 5068 Hwy 48 And Louise Ck Rd","-","Montgomery","AUG-07-2002","371","CCC630000470","36.360969","-87.376059","-","-","-","51566"
"Highway 129 Metro Convenience Center","CCC640000314","CONVENIENCE","Active","METRO LYNCHBURG/MOORE COUNTY","Highway 129/Metro Moore Hwy Garage","-","Moore","OCT-08-1995","373","CCC640000314","35.275222","-86.394167","-","-","CONVENIENCE RECYCLING TIRES","51567"
"Flat Fork Road Convenience Center","CCC650000179","CONVENIENCE","Active","MORGAN COUNTY","Flat Fork Road, Off Highway 62","-","Morgan","NOV-10-1994","374","CCC650000179","36.104064","-84.549885","-","-","CONVENIENCE RECYCLING","51568"
"Oakdale Convenience Center","CCC650000180","CONVENIENCE","Active","MORGAN COUNTY","Oakdale, Off Highway 289","Oakdale","Morgan","NOV-10-1994","375","CCC650000180","35.987085","-84.578373","-","-","CONVENIENCE RECYCLING","51569"
"Sunbright Convenience Center","CCC650000392","CONVENIENCE","Active","MORGAN COUNTY","Morgan County Hwy(127)","-","Morgan","NOV-20-1996","376","CCC650000392","36.215556","-84.666667","-","-","CONVENIENCE WOOD YARD WASTE MUNICIPAL TIRES","51570"
"Coalfield Convenience Center","CCC650000455","CONVENIENCE","Active","MORGAN COUNTY","4991 Knoxville Hwy","Oliver Springs","Morgan","MAY-14-2001","377","CCC650000455","36.045495","-84.434888","37840","-","CONVENIENCE","51571"
"Independence Convenience Center","CCC670000036","CONVENIENCE","Active","OVERTON COUNTY","Hwy 293 Behind Indep.Com.Ctr Allon","-","Overton","JAN-11-1994","378","CCC670000036","36.497943","-85.301638","-","-","CONVENIENCE","51572"
"Hanging Limb Convenience Center","CCC670000037","CONVENIENCE","Active","OVERTON COUNTY","Behind Hanging Limb Factory","-","Overton","JAN-11-1994","379","CCC670000037","36.238818","-85.158561","-","-","CONVENIENCE","51573"
"Rickman Convenience Center","CCC670000039","CONVENIENCE","Active","OVERTON COUNTY","Old Highway 42, Rickman","-","Overton","JAN-11-1994","381","CCC670000039","36.269922","-85.36993","-","-","CONVENIENCE","51574"
"Hilham Convenience Center","CCC670000112","CONVENIENCE","Active","OVERTON COUNTY","Off Hwy 85, Behind Hilham School","-","Overton","MAY-20-1994","382","CCC670000112","36.406694","-85.433361","-","-","CONVENIENCE RECYCLING","51575"
"Alpine Convenience Center","CCC670000463","CONVENIENCE","Active","OVERTON COUNTY GOV'T. (BOBBY MCCOIN, PROJECT COORDINATOR)","Winton Lane","Alpine","Overton","AUG-06-2001","383","CCC670000463","36.401344","-85.199272","-","-","-","51576"
"Hardys Chapel Convenience Center","CCC670000469","CONVENIENCE","Active","OVERTON CO. GOV'T. (RICHARD MITCHELL, CO. EXEC.)","115 Hardys Chapel Road","Cookeville","Overton","FEB-08-2002","384","CCC670000469","36.316992","-85.440394","-","-","-","51577"
"Lobelville Convenience Center","CCC680000073","CONVENIENCE","Active","PERRY COUNTY","1561 Crooked Creek Road","Lobelville","Perry","MAR-18-1994","387","CCC680000073","35.772444","-87.808833","-","-","CONVENIENCE RECYCLING","51578"
"Linden Convenience Center","CCC680000074","CONVENIENCE","Inactive","PERRY COUNTY","Rt 13 South","Linden","Perry","MAR-18-1994","388","CCC680000074","35.617778","-87.832972","-","-","CONVENIENCE TRANSFER","54018"
"Byrdstown Convenience Center","CCC690000015","CONVENIENCE","Active","PICKETT COUNTY",".5 Mile East Of Byrdstown","Byrdstown","Pickett","DEC-13-1993","389","CCC690000015","36.562562","-85.122301","-","-","CONVENIENCE RECYCLING TIRE STORAGE BALING","51579"
"Taylors Cross Roads Convenience Center","CCC690000196","CONVENIENCE","Active","PICKETT COUNTY","Taylor'S Cross Roads","-","Pickett","DEC-16-1994","390","CCC690000196","36.537389","-85.227806","-","-","CONVENIENCE TIRE STORAGE","51580"
"Bolestown Convenience Center","CCC690000197","CONVENIENCE","Termination","PICKETT COUNTY","East Port Doc Road, Bolestown","-","Pickett","DEC-16-1994","391","CCC690000197","36.4374","-85.12392","-","-","CONVENIENCE","51581"
"Farner Convenience Center","CCC700000106","CONVENIENCE","Active","POLK COUNTY","Main Street","Farner","Polk","MAY-14-1994","392","CCC700000106","35.153333","-84.316667","-","-","CONVENIENCE","51582"
"Reliance Convenience Center","CCC700000107","CONVENIENCE","Active","POLK COUNTY","3557 Highway 30","Reliance","Polk","MAY-14-1994","393","CCC700000107","35.184752","-84.501117","37369","-","CONVENIENCE","51583"
"Benton Convenience Center","CCC700000108","CONVENIENCE","Active","POLK COUNTY","Welcome Valley Road","Benton","Polk","MAY-14-1994","394","CCC700000108","35.166667","-84.658333","-","-","CONVENIENCE","51584"
"Grassy Creek Road Convenience Center","CCC700000109","CONVENIENCE","Active","POLK COUNTY","Grassy Creek Road","-","Polk","MAY-14-1994","395","CCC700000109","35.004056","-84.394698","-","-","CONVENIENCE","51585"
"Old Humboldt Road Convenience Center","CCC570000009","CONVENIENCE","Active","JACKSON-MADISON CO. HEALTH DEPT.","1001 Old Humboldt Road","-","Madison","DEC-13-1993","318","CCC570000009","35.708971","-88.856908","-","-","CONVENIENCE","51586"
"Highway 45 South Convenience Center","CCC570000010","CONVENIENCE","Active","JACKSON-MADISON CO. HEALTH DEPT.","3242 Highway 45 South","-","Madison","DEC-13-1993","319","CCC570000010","35.522467","-88.768186","-","-","CONVENIENCE","51587"
"Pipkin Road Convenience Center","CCC570000011","CONVENIENCE","Active","JACKSON-MADISON CO. HEALTH DEPT.","3 Pipkin Road","-","Madison","DEC-13-1993","320","CCC570000011","35.667474","-88.890075","-","-","CONVENIENCE","51588"
"H O Forgy Drive Convenience Center","CCC570000012","CONVENIENCE","Active","JACKSON-MADISON CO. HEALTH DEPT.","130 H. O. Forgy Drive","-","Madison","DEC-13-1993","321","CCC570000012","35.603905","-88.776262","-","-","CONVENIENCE","51589"
"Highway 70 East Convenience Center","CCC570000013","CONVENIENCE","Active","JACKSON-MADISON CO. HEALTH DEPT.","1916 Highway 70 E","Jackson","Madison","DEC-13-1993","322","CCC570000013","35.66055","-88.760505","-","-","CONVENIENCE","48546"
"Bowman Collins Road Convenience Center","CCC570000014","CONVENIENCE","Active","JACKSON-MADISON CO. HEALTH DEPT.","31 Bowman Collins Road","-","Madison","DEC-13-1993","323","CCC570000014","35.456996","-88.871319","-","-","CONVENIENCE","51590"
"Mt Pinson Road Convenience Center","CCC570000099","CONVENIENCE","Active","JACKSON-MADISON CO. HEALTH DEPT.","Mount Pinson Road","-","Madison","APR-27-1994","324","CCC570000099","35.530148","-88.89999","-","-","CONVENIENCE","51591"
"Mercer Convenience Center","CCC570000259","CONVENIENCE","Active","MADISON FARMER'S COOPERATIVE","Highway 138","Mercer","Madison","MAY-15-1995","325","CCC570000259","35.489752","-89.056363","-","-","CONVENIENCE","51592"
"Passmore Lane Convenience Center","CCC570000441","CONVENIENCE","Active","JACKSON-MADISON CO. HEALTH DEPT.","Passmore Lane Dead End","-","Madison","MAR-04-1999","326","CCC570000441","35.735109","-88.858177","-","-","-","51593"
