"Site Number","Name","Alias","Address","Town","County","Acres","IC_Controls","Status","Substatus","Status Date","Program","Latitude","Longitude"
"REM00145","GREENFIELD MUNICIPAL LANDFILL","GREENFIELD DUMP","CROCKER TURN ROAD","GREENFIELD TWP","PENOBSCOT",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1995,"LANDFILL CLOSURE",45.03782,-68.48101
"REM00146","GREENVILLE MUNICIPAL LANDFILL","","SCAMMON ROAD","GREENVILLE","PISCATAQUIS",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/13/2014,"LANDFILL CLOSURE",45.47949,-69.55867
"REM00152","HAMPDEN MUNICIPAL LANDFILL","HAMPDEN DUMP","BAKER ROAD","HAMPDEN","PENOBSCOT",2,"FALSE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1976,"LANDFILL CLOSURE",44.69653,-68.86659
"REM00153","HANCOCK MUNICIPAL LANDFILL","","ROUTE 182","HANCOCK","HANCOCK",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1995,"LANDFILL CLOSURE",44.54643,-68.3132
"REM00156","HARPSWELL MUNICIPAL LANDFILL","MOUNTAIN ROAD LANDFILL","MOUNTAIN ROAD","HARPSWELL","CUMBERLAND",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1993,"LANDFILL CLOSURE",43.81508,-69.94137
"REM00155","HARPSWELL ROUTE 24 DUMP SITE","","ROUTE 24","HARPSWELL","CUMBERLAND",0,"TRUE","INVESTIGATION STAGE","NEED (AWAITING RESOURCES)",07/31/2004,"LANDFILL CLOSURE",43.80438,-69.93381
"REM00157","HARPSWELL MUNICIPAL DUMP","ROUTE 123 DUMP","ROUTE 123","HARPSWELL","CUMBERLAND",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1978,"LANDFILL CLOSURE",43.76977,-70.00682
"REM00158","HARRISON MUNICIPAL LANDFILL","HARRISON DUMP","UPTON ROAD","HARRISON","CUMBERLAND",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1991,"LANDFILL CLOSURE",44.15474,-70.61418
"REM00160","HARTFORD/SUMNER MUNICIPAL LANDFILL","SUMNER DUMP","BUTTERFIELD RD/RT 140","SUMNER","OXFORD",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1999,"LANDFILL CLOSURE",44.3493,-70.37319
"REM00164","HAYNESVILLE MUNICIPAL LANDFILL","HAYNESVILLE DUMP","NUMBER 9 ROAD","HAYNESVILLE","AROOSTOOK",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",12/31/2006,"LANDFILL CLOSURE",45.82425,-67.97558
"REM00166","HERMON MUNICIPAL LANDFILL","","NEWBOSTON ROAD","HERMON","PENOBSCOT",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1998,"LANDFILL CLOSURE",44.81719,-68.87958
"REM00168","HOLLIS MUNICIPAL LANDFILL (NEW)","DECKER LANE DUMP","DECKER ROAD","HOLLIS","YORK",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1993,"LANDFILL CLOSURE",43.66693,-70.61682
"REM01507","HOLLIS MUNICIPAL LANDFILL (OLD)","NEW COUNTY ROAD DUMP","123 NEW COUNTY RD (RT 5)","HOLLIS","YORK",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1983,"LANDFILL CLOSURE",43.56606,-70.62745
"REM00169","HOULTON MUNICIPAL LANDFILL","HOULTON DUMP","STEELSTONE STREET","HOULTON","AROOSTOOK",18,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1997,"LANDFILL CLOSURE",46.12646,-67.85827
"REM00170","HOWLAND MUNICIPAL LANDFILL","HOWLAND DUMP","ROUTE 6/155","HOWLAND","PENOBSCOT",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1995,"LANDFILL CLOSURE",45.23504,-68.70897
"REM00171","HUDSON MUNICIPAL LANDFILL","HUDSON DUMP","HUDSON HILL RD/TAMBURO LN","HUDSON","PENOBSCOT",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1999,"LANDFILL CLOSURE",44.99289,-68.88851
"REM00173","ISLAND FALLS MUNICIPAL LANDFILL","ISLAND FALLS DUMP","SEWALL STREET","ISLAND FALLS","AROOSTOOK",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1993,"LANDFILL CLOSURE",46.02318,-68.27834
"REM00174","ISLESBORO MUNICIPAL LANDFILL","ISLESBORO DUMP","MAIN ROAD","ISLESBORO","WALDO",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1995,"LANDFILL CLOSURE",44.36683,-68.89225
"REM00175","JACKMAN MUNICIPAL LANDFILL","JACKMAN REGIONAL LANDFILL","HASTINGS ROAD","JACKMAN","SOMERSET",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1994,"LANDFILL CLOSURE",45.64388,-70.23104
"REM00176","JAY MUNICIPAL LANDFILL","JAY TOWN DUMP","ROUTE 4","JAY","FRANKLIN",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1993,"LANDFILL CLOSURE",44.52701,-70.23238
"REM00177","JEFFERSON MUNICIPAL LANDFILL","","HINCKS ROAD","JEFFERSON","LINCOLN",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",09/23/2014,"LANDFILL CLOSURE",44.19778,-69.5181
"REM00178","JONESBORO MUNICIPAL LANDFILL","JONESBORO DUMP","STATION ROAD","JONESBORO","WASHINGTON",3,"TRUE","INVESTIGATION STAGE","NEED (AWAITING RESOURCES)",07/31/2004,"LANDFILL CLOSURE",44.66392,-67.63094
"REM00179","JONESPORT MUNICIPAL LANDFILL","JONESPORT DUMP","ROUTE 187","JONESPORT","WASHINGTON",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1997,"LANDFILL CLOSURE",44.54503,-67.6296
"REM00180","KENDUSKEAG MUNICIPAL LANDFILL","KENDUSKEAG DUMP","TOWN HOUSE ROAD","KENDUSKEAG","PENOBSCOT",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/31/2013,"LANDFILL CLOSURE",44.89865,-68.94882
"REM00181","KENNEBEC SANITARY TREATMENT DISTRICT LANDFILL","KSTD","401 WATER STREET","WATERVILLE","KENNEBEC",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1983,"LANDFILL CLOSURE",44.52916,-69.6535
"REM00184","KENNEBUNKPORT MUNICIPAL LANDFILL","","BEACHWOOD ROAD","KENNEBUNKPORT","YORK",7,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1993,"LANDFILL CLOSURE",43.38451,-70.45943
"REM00185","KINGFIELD MUNICIPAL LANDFILL","","ROUTE 16","KINGFIELD","FRANKLIN",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1994,"LANDFILL CLOSURE",44.95889,-70.12283
"REM00186","KITTERY MUNICIPAL LANDFILL","KITTERY TOWN DUMP","PICOTT ROAD","KITTERY","YORK",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1993,"UNCONTROLLED SITES",43.1202,-70.75213
"REM00186","KITTERY MUNICIPAL LANDFILL","KITTERY TOWN DUMP","PICOTT ROAD","KITTERY","YORK",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1993,"LANDFILL CLOSURE",43.1202,-70.75213
"REM00187","LAGRANGE MUNICIPAL LANDFILL","","ROUTE 16","LAGRANGE","PENOBSCOT",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1995,"LANDFILL CLOSURE",45.16405,-68.83922
"REM00188","LAKE VIEW PLANTATION MUNICIPAL LANDFILL","LAKE VIEW PLANTATION DUMP","LAKEVIEW ROAD","LAKE VIEW PLT","PISCATAQUIS",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1995,"LANDFILL CLOSURE",45.32114,-68.92432
"REM00190","LAMOINE MUNICIPAL LANDFILL","LAMOINE DUMP","ROUTE 184","LAMOINE","HANCOCK",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1994,"LANDFILL CLOSURE",44.47154,-68.32633
"REM00192","LEBANON MUNICIPAL LANDFILL","","UPPER GUINEA ROAD","LEBANON","YORK",6,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/01/2014,"LANDFILL CLOSURE",43.37776,-70.91762
"REM00193","LEE MUNICIPAL LANDFILL","LEE DUMP","DAM ROAD","LEE","PENOBSCOT",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1996,"LANDFILL CLOSURE",45.36108,-68.29317
"REM00195","LEWISTON MUNICIPAL LANDFILL","","424 RIVER ROAD","LEWISTON","ANDROSCOGGIN",25,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1994,"LANDFILL CLOSURE",44.04949,-70.18188
"REM00200","LINCOLN MUNICIPAL LANDFILL","","FOLSOM POND ROAD","LINCOLN","PENOBSCOT",10,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1996,"LANDFILL CLOSURE",45.33522,-68.4685
"REM00203","LISBON MUNICIPAL LANDFILL (OLD)","LISBON DUMP/EDGECOMB ROAD DUMP","EDGECOMB ROAD","LISBON","ANDROSCOGGIN",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1977,"LANDFILL CLOSURE",44.00533,-70.03622
"REM00202","LISBON MUNICIPAL LANDFILL (NEW)","PINEWOODS ROAD LANDFILL/LISBON TOWN DUMP","PINEWOODS ROAD","LISBON","ANDROSCOGGIN",15,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1999,"LANDFILL CLOSURE",44.01864,-70.13488
"REM00202","LISBON MUNICIPAL LANDFILL (NEW)","PINEWOODS ROAD LANDFILL/LISBON TOWN DUMP","PINEWOODS ROAD","LISBON","ANDROSCOGGIN",15,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1999,"UNCONTROLLED SITES",44.01864,-70.13488
"REM00204","LITCHFIELD MUNICIPAL LANDFILL","","HALLOWELL ROAD","LITCHFIELD","KENNEBEC",8,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1995,"LANDFILL CLOSURE",44.1649,-69.94135
"REM00205","LITTLETON MUNICIPAL LANDFILL","LITTLETON DUMP","WEST RIDGE ROAD","LITTLETON","AROOSTOOK",8,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1995,"LANDFILL CLOSURE",46.26407,-67.88452
"REM00205","LITTLETON MUNICIPAL LANDFILL","LITTLETON DUMP","WEST RIDGE ROAD","LITTLETON","AROOSTOOK",8,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1995,"UNCONTROLLED SITES",46.26407,-67.88452
"REM00289","LONG ISLAND MUNICIPAL LANDFILL","LONG ISLAND DUMP","ISLAND AVE","LONG ISLAND","CUMBERLAND",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1996,"LANDFILL CLOSURE",43.6841,-70.1647
"REM00209","MACHIAS MUNICIPAL LANDFILL","","ROUTE 192/OUTER BROADWAY","MACHIAS","WASHINGTON",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1996,"LANDFILL CLOSURE",44.72283,-67.46862
"REM00211","MACWAHOC PLANTATION MUNICIPAL LANDFILL","MACWAHOC TOWN DUMP","ROUTE 170","MACWAHOC PLT","AROOSTOOK",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1996,"LANDFILL CLOSURE",45.61596,-68.26096
"REM00212","MARIAVILLE MUNICIPAL LANDFILL","","ROUTE 181/MARIAVILLE ROAD","MARIAVILLE","HANCOCK",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1994,"LANDFILL CLOSURE",44.75957,-68.39031
"REM00213","MARS HILL MUNICIPAL LANDFILL","","MILL STREET","MARS HILL","AROOSTOOK",8,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1995,"LANDFILL CLOSURE",46.51082,-67.85791
"REM00214","MASARDIS MUNICIPAL LANDFILL","MASARDIS DUMP","BLACKWATER ROAD","MASARDIS","AROOSTOOK",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1996,"LANDFILL CLOSURE",46.49261,-68.34923
"REM00215","MATTAWAMKEAG MUNICIPAL LANDFILL","","DEPOT ROAD","MATTAWAMKEAG","PENOBSCOT",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1994,"LANDFILL CLOSURE",45.51606,-68.34667
"REM00215","MATTAWAMKEAG MUNICIPAL LANDFILL","","DEPOT ROAD","MATTAWAMKEAG","PENOBSCOT",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1994,"UNCONTROLLED SITES",45.51606,-68.34667
"REM00216","MECHANIC FALLS MUNICIPAL LANDFILL","","WALKER ROAD","MECHANIC FALLS","ANDROSCOGGIN",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1993,"LANDFILL CLOSURE",44.09963,-70.36978
"REM00219","MERCER MUNICIPAL LANDFILL","MERCER TOWN DUMP","SANDY RIVER ROAD","MERCER","SOMERSET",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1995,"LANDFILL CLOSURE",44.69955,-69.92982
"REM00220","MEXICO MUNICIPAL LANDFILL","MEXICO-RUMFORD LANDFILL","POPLAR HILL ROAD","MEXICO","OXFORD",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1981,"LANDFILL CLOSURE",44.60006,-70.535
"REM00227","MONSON MUNICIPAL LANDFILL","MONSON TOWN DUMP","CHAPIN STREET","MONSON","PISCATAQUIS",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1995,"LANDFILL CLOSURE",45.29368,-69.49783
"REM00234","NAPLES MUNICIPAL LANDFILL","","PERLEY ROAD","NAPLES","CUMBERLAND",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1993,"LANDFILL CLOSURE",43.98689,-70.64869
"REM00236","NEW GLOUCESTER MUNICIPAL LANDFILL","NEW GLOUCESTER DUMP","BALD HEAD ROAD","NEW GLOUCESTER","CUMBERLAND",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1980,"LANDFILL CLOSURE",43.99447,-70.30172
"REM00236","NEW GLOUCESTER MUNICIPAL LANDFILL","NEW GLOUCESTER DUMP","BALD HEAD ROAD","NEW GLOUCESTER","CUMBERLAND",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1980,"UNCONTROLLED SITES",43.99447,-70.30172
"REM00239","NEW SHARON MUNICIPAL LANDFILL","","ROUTE 134/STARKS ROAD","NEW SHARON","FRANKLIN",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1986,"LANDFILL CLOSURE",44.64184,-70.00618
"REM00240","NEW SWEDEN MUNICIPAL LANDFILL","NEW SWEDEN DUMP","BONDESON ROAD","NEW SWEDEN","AROOSTOOK",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1994,"LANDFILL CLOSURE",46.93118,-68.16235
"REM00241","NEW VINEYARD MUNICIPAL LANDFILL","","ROUTE 127","NEW VINEYARD","FRANKLIN",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1997,"LANDFILL CLOSURE",44.83882,-70.11463
"REM00242","NEWBURGH MUNICPAL LANDFILL","","RIVER ROAD","NEWBURGH","PENOBSCOT",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1977,"LANDFILL CLOSURE",44.72045,-68.98294
"REM00244","NEWFIELD MUNICIPAL LANDFILL","","ROUTE 11","NEWFIELD","YORK",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1996,"LANDFILL CLOSURE",43.64301,-70.87528
"REM00246","NEWPORT MUNICIPAL LANDFILL","NEWPORT DUMP","CEMETARY ROAD","NEWPORT","PENOBSCOT",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1988,"LANDFILL CLOSURE",44.82093,-69.27645
"REM00245","NEWPORT STUMP DUMP","","CEMETARY ROAD","NEWPORT","PENOBSCOT",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1993,"LANDFILL CLOSURE",44.82146,-69.26958
"REM00248","NORRIDGEWOCK MUNICIPAL LANDFILL","NORRIDGEWOCK TOWN DUMP","WINDING HILL ROAD","NORRIDGEWOCK","SOMERSET",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1999,"LANDFILL CLOSURE",44.72026,-69.81578
"REM00248","NORRIDGEWOCK MUNICIPAL LANDFILL","NORRIDGEWOCK TOWN DUMP","WINDING HILL ROAD","NORRIDGEWOCK","SOMERSET",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1999,"UNCONTROLLED SITES",44.72026,-69.81578
"REM00252","NORTHFIELD MUNICIPAL LANDFILL","NORTHFIELD DUMP","EAST RIDGE ROAD","NORTHFIELD","WASHINGTON",1,"TRUE","INVESTIGATION STAGE","NEED (AWAITING RESOURCES)",07/31/2003,"LANDFILL CLOSURE",44.83648,-67.55267
"REM00253","NORTHPORT MUNICIPAL LANDFILL","NORTHPORT TOWN DUMP","BEECH HILL ROAD","NORTHPORT","WALDO",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/2001,"LANDFILL CLOSURE",44.32853,-68.9781
"REM00257","OAKLAND MUNICIPAL LANDFILL","","TOWN FARM ROAD","OAKLAND","KENNEBEC",11,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1995,"LANDFILL CLOSURE",44.54638,-69.75758
"REM00258","OGUNQUIT MUNICIPAL LANDFILL","OGUNQUIT STUMP DUMP","368 BERWICK ROAD","OGUNQUIT","YORK",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1996,"LANDFILL CLOSURE",43.24953,-70.62091
"REM00265","ORONO MUNICIPAL LANDFILL","","TAYLOR ROAD","ORONO","PENOBSCOT",10,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1995,"LANDFILL CLOSURE",44.90285,-68.72652
"REM00270","PARIS MUNICIPAL LANDFILL","","HATHAWAY ROAD","PARIS","OXFORD",8,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1997,"LANDFILL CLOSURE",44.24553,-70.52299
"REM00272","PARKMAN MUNICIPAL LANDFILL","PARKMAN DUMP","CROW HILL ROAD","PARKMAN","PISCATAQUIS",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1993,"LANDFILL CLOSURE",45.13145,-69.45375
"REM00274","PATTEN MUNICIPAL LANDFILL","PATTEN DUMP","LOVEJOY ROAD","PATTEN","PENOBSCOT",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",09/04/2014,"LANDFILL CLOSURE",45.99283,-68.43336
"REM00277","PERU MUNICIPAL LANDFILL - EAST","WORTHLEY POND DUMP","GREENWOODS ROAD","PERU","OXFORD",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1976,"LANDFILL CLOSURE",44.48006,-70.38867
"REM00276","PERU MUNICIPAL LANDFILL - WEST","WEST PERU SITE/PLEASANT STREET SITE","PLEASANT STREET","PERU","OXFORD",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1976,"LANDFILL CLOSURE",44.51675,-70.45659
"REM00279","PHIPPSBURG MUNICIPAL LANDFILL","","58 SAM DAY HILL ROAD","PHIPPSBURG","SAGADAHOC",4,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1994,"LANDFILL CLOSURE",43.78995,-69.82377
"REM00280","PITTSFIELD MUNICIPAL LANDFILL","","PELTOMA AVE/HORSEBACK RD","PITTSFIELD","SOMERSET",7,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1983,"LANDFILL CLOSURE",44.76676,-69.35702
"REM00285","PLYMOUTH MUNICIPAL LANDFILL","PLYMOUTH DUMP","ROUTE 7/LOUD ROAD","PLYMOUTH","PENOBSCOT",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1980,"LANDFILL CLOSURE",44.75533,-69.19882
"REM00290","PORTLAND MUNICIPAL LANDFILL - OCEAN AVE","OCEAN AVE. DUMP","OCEAN AVE","PORTLAND","CUMBERLAND",8,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1979,"LANDFILL CLOSURE",43.69891,-70.26708
"REM00290","PORTLAND MUNICIPAL LANDFILL - OCEAN AVE","OCEAN AVE. DUMP","OCEAN AVE","PORTLAND","CUMBERLAND",8,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1979,"UNCONTROLLED SITES",43.69891,-70.26708
"REM00291","PORTLAND MUNICIPAL LANDFILL - PEAKS ISLAND","PEAKS ISLAND DUMP","BEACH AVE","PORTLAND","CUMBERLAND",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",08/29/2013,"LANDFILL CLOSURE",43.65783,-70.1844
"REM00292","PORTLAND MUNICIPAL LANDFILL - RIVERSIDE","RIVERSIDE RECYCLING SITE","RIVERSIDE DRIVE","PORTLAND","CUMBERLAND",10,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1996,"LANDFILL CLOSURE",43.70752,-70.3202
"REM00294","PRINCETON MUNICIPAL LANDFILL - NEW","PRINCETON DUMP","EASTERN CUTOFF ROAD","PRINCETON","WASHINGTON",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1994,"LANDFILL CLOSURE",45.22762,-67.52964
"REM00297","RANGELEY PLANTATION MUNICIPAL LANDFILL","","BIRDSEYE ROAD","RANGELEY PLT","FRANKLIN",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1994,"LANDFILL CLOSURE",44.92945,-70.65863
"REM00300","READFIELD MUNICIPAL LANDFILL","","NORTH ROAD","READFIELD","KENNEBEC",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1994,"LANDFILL CLOSURE",44.38262,-69.93508
"REM00301","REED PLANTATION MUNICIPAL LANDFILL","","ROUTE 171","REED PLT","AROOSTOOK",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1994,"LANDFILL CLOSURE",45.63609,-68.07971
"REM00302","REGIONAL WASTE SYSTEMS LANDFILL","RWS BALEFILL LANDFILL; AKA ECOMAINE","RUNNING HILL ROAD","SCARBOROUGH","CUMBERLAND",40,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1999,"LANDFILL CLOSURE",43.6385,-70.3714
"REM00305","ROCKLAND MUNICIPAL LANDFILL","ROCKLAND QUARRY TOWN DUMP","LIMEROCK STREET","ROCKLAND","KNOX",4,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/08/2008,"UNCONTROLLED SITES",44.10589,-69.13635
"REM00305","ROCKLAND MUNICIPAL LANDFILL","ROCKLAND QUARRY TOWN DUMP","LIMEROCK STREET","ROCKLAND","KNOX",4,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/08/2008,"LANDFILL CLOSURE",44.10589,-69.13635
"REM00306","ROCKWOOD MUNICIPAL LANDFILL","","MILLIGAN FARM ROAD","TAUNTON ANDRAYNHAM ACADEMY GRANT","SOMERSET",6,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1995,"LANDFILL CLOSURE",45.65268,-69.75635
"REM00338","SAINT AGATHA MUNICIPAL LANDFILL","","MARQUIS ROAD","ST AGATHA","AROOSTOOK",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1995,"LANDFILL CLOSURE",47.23753,-68.3837
