"textbox2,textbox17,SiteName,LocAddr,SiteID,OperAddr,LocAddrCounty,FacContact,OperCompanyName,OpContact,DispAreaNumber,DispAreaTypeDescr,DispAreaStatusTypeDescr"
"All Solid Waste Disposal Areas Report,""470436 - CITY-STAR SERVICES, INC."",CORK STREET TRANSFER STATION,""2800 E CORK ST, KALAMAZOO, MI"",,""7227 RELIABLE PATH, STEVENSVILLE, MI"",KALAMAZOO,DAN MAGOUN - (317) 921-1667,CORK STREET TRANSFER STATION,BOB TENHAAF - (877) 268-3867,1),Solid Waste Transfer Facility,Active - Closing"
"All Solid Waste Disposal Areas Report,482612 - CLINTON TOWNSHIP TRANSFER STATION,CLINTON TOWNSHIP TRANSFER STATION,""SECTION 22, COMINS, MI"",,""PO BOX 134, COMINS, MI"",OSCODA,(no contact) - (no phone),CLINTON TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,491706 - CLYDE-MANLIUS-GANGES TOWNSHIP TRANSFER STATION,CLYDE-MANLIUS-GANGES TOWNSHIP TRANSFER STATION,""5073 122 ND AVENUE, FENNVILLE, MI"",,""5073 122 ND AVENUE, FENNVILLE, MI"",ALLEGAN,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,491719 - COLUMBIA TOWNSHIP TRANSFER STATION,COLUMBIA TOWNSHIP TRANSFER STATION,""18863 52 1/2 STREET, GRAND JUNCTION, MI"",,""53053 CR 388 P.O. BOX 323, GRAND JUNCTION, MI"",VAN BUREN,(no contact) - (no phone),COLUMBIA TOWNSHIP HALL,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,492031 - COMINS TOWNSHIP,COMINS TOWNSHIP,""SECTION 18, COMINS TOWNSHIP, MIO, MI"",,""P.O. BOX 882, MIO, MI"",OSCODA,(no contact) - (no phone),COMINS TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,491714 - COMSTOCK TOWNSHIP TRANSFER STATION,COMSTOCK TOWNSHIP TRANSFER STATION,""6604 EAST MAIN STREET, KALAMAZOO, MI"",,""6138 KING HIGHWAY, P.O. BOX 449, COMSTOCK, MI"",KALAMAZOO,ANN NIEUWENHUIS - (269) 381-2360,CHARTER TOWNSHIP OF COMSTOCK MICHIGAN,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,398018 - CONSUMERS ENERGY CO,CONSUMERS ENERGY BC COBB PLANT,""151 N CAUSEWAY ST, MUSKEGON, MI"",MID097804330,""1945 W PARNALL RD, JACKSON, MI"",MUSKEGON,(no contact) - (no phone),,(no contact) - (no phone),1),Type III Low Hazardous Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,392503 - CONSUMERS ENERGY CO,CONSUMERS ENERGY DE KARN,""2742 NORTH WEADOCK HIGHWAY, ESSEXVILLE, MI"",MID000718353,""2742 NORTH WEADOCK HIGHWAY, ESSEXVILLE, MI"",BAY,RICK HALL - (989) 891-3464,,RICK  HALL - (989) 891-3464,1),Type III Low Hazardous Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,395457 - CONSUMERS ENERGY CO,CONSUMERS WEADOCK COMPLEX,""2555 NORTH WEADOCK HWY, ESSEXVILLE, MI"",MID040562597,""1945 W PARNALL RD, ATTN ENVIRONMENTAL SERVICES, JACKSON, MI"",BAY,RICK HALL - (989) 891-3464,,RICK HALL - (989) 891-3464,1),Type III Low Hazardous Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,395496 - CONSUMERS ENERGY CO,CONSUMERS ENERGY J H CAMPBELL COMPLEX,""17000 CROSWELL ST, SITE A, WEST OLIVE, MI"",MID041409954,""1945 W PARNALL RD, ATTN ENVIRONMENTAL SERVICES , JACKSON, MI"",OTTAWA,STEPHANIE WATSON - (517) 788-0647,,STEPHANIE WATSON - (517) 788-0647,1),Type III Low Hazardous Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,397664 - CONSUMERS ENERGY COMPANY JR WHITING PLANT,J R WHITING ELECTRIC GENERATING STATION,""4525 E ERIE RD, ERIE, MI"",MID087050506,""1945 W PARNALL RD, ROOM #P24507, JACKSON, MI"",MONROE,GARY DAWSON - (517) 788-1921,,Robert Strugarek - (734) 848-2663,1),Type III Surface Impoundment,Active - Accepting"
"All Solid Waste Disposal Areas Report,475248 - CORWITH TOWNSHIP TRANSFER FACILITY,CORWITH TOWNSHIP TRANSFER FACILITY,""SECTION 22, CORWITH TWP., VANDERBILT, MI"",,""8170 MILL ST., VANDERBILT, MI"",OTSEGO,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,446195 - COUNTY OF HOUGHTON,HOUGHTON COUNTY SOLID WASTE TRANSFER STATION,""404 TECHNICAL AVE, HOUGHTON, MI"",MIG000034132,""404 TECHNICAL AVE, HOUGHTON, MI"",HOUGHTON,ERIC FORSBERG - (906) 482-8307,,JIM ZERBST - (906) 482-8307,1),Solid Waste Transfer Facility,Post-Closure"
"All Solid Waste Disposal Areas Report,446195 - COUNTY OF HOUGHTON,HOUGHTON COUNTY SOLID WASTE TRANSFER STATION,""404 TECHNICAL AVE, HOUGHTON, MI"",MIG000034132,""404 TECHNICAL AVE, HOUGHTON, MI"",HOUGHTON,ERIC FORSBERG - (906) 482-8307,,JIM ZERBST - (906) 482-8307,2),Solid Waste Transfer Facility,Post-Closure"
"All Solid Waste Disposal Areas Report,470383 - COUNTY OF JACKSON,JACKSON COUNTY DALTON ROAD LANDFILL,""DALTON ROAD, JACKSON, MI"",,""1990 E PARNALL RD, JACKSON, MI"",JACKSON,JAMES GLEN - (517) 788-4008,JACKSON COUNTY DALTON ROAD LANDFILL,JAMES GLEN - (no phone),1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,470383 - COUNTY OF JACKSON,JACKSON COUNTY DALTON ROAD LANDFILL,""DALTON ROAD, JACKSON, MI"",,""1990 E PARNALL RD, JACKSON, MI"",JACKSON,JAMES GLEN - (517) 788-4008,JACKSON COUNTY DALTON ROAD LANDFILL,JAMES GLEN - (no phone),2),Type II MSW Incinerator Ash Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,470351 - COUNTY OF KENT DEPARTMENT OF PUBLIC WORKS,NORTH KENT TRANSFER STATION,""2908 10 MILE RD NE, ROCKFORD, MI"",,""1500 SCRIBNER AVE NW, GRAND RAPIDS, MI"",KENT,RON LANDIS - (616) 866-4993,NORTH KENT TRANSFER STATION,RON LANDIS - (616) 336-4370,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,470542 - COUNTY OF KENT DEPARTMENT OF PUBLIC WORKS,WASTE-TO-ENERGY FACILITY TRANSFER STATION,""950 MARKET AVE SW, GRAND RAPIDS, MI"",,""1500 SCRIBNER AVE NW, GRAND RAPIDS, MI"",KENT,WILLIAM ALLEN - (616) 336-4355,,WILLIAM ALLEN - (616) 336-3695,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,451188 - COUNTY OF MARQUETTE SOLID WASTE MANAGEMENT AUTH,MARQUETTE COUNTY LANDFILL,""600 COUNTY ROAD NP, TYPE II LANDFILL, MARQUETTE, MI"",MIG000023671,""600 COUNTY ROAD NP, TYPE II LANDFILL, MARQUETTE, MI"",MARQUETTE,BRAD AUSTIN - (906) 249-4125,,BRAD AUSTIN - (906) 249-4125,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,451188 - COUNTY OF MARQUETTE SOLID WASTE MANAGEMENT AUTH,MARQUETTE COUNTY LANDFILL,""600 COUNTY ROAD NP, TYPE II LANDFILL, MARQUETTE, MI"",MIG000023671,""600 COUNTY ROAD NP, TYPE II LANDFILL, MARQUETTE, MI"",MARQUETTE,BRAD AUSTIN - (906) 249-4125,,BRAD AUSTIN - (906) 249-4125,2),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,419066 - COUNTY OF MASON,MASON COUNTY,""109 S GAY RD, SCOTTVILLE, MI"",MIG000062192,""304 E LUDINGTON AVE, LUDINGTON, MI"",MASON,DAVE HASENBANK - (616) 843-8110,,DAVID HASENBANK - (616) 843-2022,1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,440983 - COUNTY OF MUSKEGON DEPARTMENT OF PUBLIC WORKS,COUNTY OF MUSKEGON - SOLID WASTE LANDFILL,""9366 APPLE AVE, RAVENNA, MI"",MIG000045109,""9366 APPLE AVE, RAVENNA, MI"",MUSKEGON,GREGORY LEVERENCE - (231) 724-6003,,GREGORY LEVERENCE - (231) 724-6003,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,440983 - COUNTY OF MUSKEGON DEPARTMENT OF PUBLIC WORKS,COUNTY OF MUSKEGON - SOLID WASTE LANDFILL,""9366 APPLE AVE, RAVENNA, MI"",MIG000045109,""9366 APPLE AVE, RAVENNA, MI"",MUSKEGON,GREGORY LEVERENCE - (231) 724-6003,,GREGORY LEVERENCE - (231) 724-6003,2),Type III Low Hazardous Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,390083 - COUNTY OF ROSCOMMON LANDFILL,COUNTY OF ROSCOMMON LANDFILL,""3401 LANDFILL RD, HIGGINS LAKE, MI"",MI0000007070,""3401 LANDFILL RD, HIGGINS LAKE, MI"",ROSCOMMON,CARL GEIGER - (989) 275-5823,,CARL GEIGER - (989) 275-5823,1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,452546 - COUNTY OF ST CLAIR MICHIGAN,SMITHS CREEK LANDFILL,""6779 SMITHS CREEK RD, KIMBALL, MI"",MIK239961196,""6779 SMITHS CREEK RD, SMITHS CREEK, MI"",ST CLAIR,MATT WILLIAMS - (810) 989-6979,,MATT WILLIAMS - (810) 989-6979,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,448702 - COUNTY OF WEST MARQUETTE SANITATION AUTHORITY,TRANSFER STATION,""US 41 WEST, ISHPEMING, MI"",MIK397397589,""US 41 WEST, ISHPEMING, MI"",MARQUETTE,SUSAN TILLISON - (906) 226-6862,,JIM NANKERVIS - (906) 486-6802,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,407996 - COUNTY TRANSFER STATION,COUNTY TRANSFER STATION,""1709 E DRYDEN RD, METAMORA, MI"",MID985654383,""PO BOX 164, METAMORA, MI"",LAPEER,TIMOTHY FAULKENDER - (810) 784-5900,,TIMOTHY FAULKENDER - (810) 784-5900,1),Solid Waste Transfer Facility,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,491720 - COVERT TRANSFER STATION,COVERT TRANSFER STATION,""76894 34 TH AVENUE, COVERT, MI"",,""PO BOX 35, COVERT, MI"",VAN BUREN,DENNIS PALGEN - (269) 764-8986,COVERT TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,486132 - CROTON TOWNSHIP TRANSFER STATION,CROTON TOWNSHIP TRANSFER STATION,""5600 E ELM AVE, NEWAYGO, MI"",,""5833 DIVISION ST, NEWAYGO, MI"",NEWAYGO,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,487672 - CRYSTAL TOWNSHIP TRANSFER SITE,CRYSTAL TOWNSHIP TRANSFER SITE,""MADISON RD, HART, MI"",,""1499 EAST HAMMETT ROAD, HART, MI"",OCEANA,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,466380 - CUMMING TOWNSHIP TRANSFER STATION,CUMMING TOWNSHIP TRANSFER STATION,""901 East Sage Lake Road, Rose City, MI"",,""439 N. MORRISON ROAD, WEST BRANCH, MI"",OGEMAW,(no contact) - (no phone),CUMMING TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,451470 - DAFTER SANITARY LANDFILL INC,DAFTER SANITARY LANDFILL,""3962 W 12 MILE RD, DAFTER, MI"",MIG000023670,""3962 W 12 MILE RD, DAFTER, MI"",CHIPPEWA,ROBERT PLISKA - (906) 228-4000,,TIM HARROW - (906) 632-6186,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,446533 - DAGGETT LANDFILL,DAGGETT LANDFILL,""930 E SHERIDAN RD, LANSING, MI"",MIG000033710,""930 E SHERIDAN RD, LANSING, MI"",INGHAM,(no contact) - (no phone),,(no contact) - (no phone),1),Type III C&D Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,470521 - DAGGETT RECYCLING INC,DAGGETT PROCESSING AND RECYCLING TS,""1010 E SHERIDAN RD, LANSING, MI"",,""1010 E SHERIDAN RD, LANSING, MI"",INGHAM,CURTIS DAGGETT - (517) 487-2224,""DAGGETT SAND AND GRAVEL, INC."",CURTIS DAGGETT - (517) 487-2224,1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,483192 - DALTON TOWNSHIP TRANSFER STATION,DALTON TOWNSHIP TRANSFER STATION,""MICHILLINDA AND RUSSELL ROADS, MUSKEGON, MI"",,""1616 E RILEY THOMPSON RD, MUSKEGON, MI"",MUSKEGON,CHRIS HALL - (231) 332-6700,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,410730 - DELTA SOLID WASTE MANAGEMENT AUTHORITY,DELTA COUNTY LANDFILL,""5701 19TH AVE N, ESCANABA, MI"",MIR000015149,""PO BOX 198, ESCANABA, MI"",DELTA,DON PYLE - (906) 786-9056,,DON PYLE - (906) 786-9056,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,410730 - DELTA SOLID WASTE MANAGEMENT AUTHORITY,DELTA COUNTY LANDFILL,""5701 19TH AVE N, ESCANABA, MI"",MIR000015149,""PO BOX 198, ESCANABA, MI"",DELTA,DON PYLE - (906) 786-9056,,DON PYLE - (906) 786-9056,2),Type III C&D Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,410730 - DELTA SOLID WASTE MANAGEMENT AUTHORITY,DELTA COUNTY LANDFILL,""5701 19TH AVE N, ESCANABA, MI"",MIR000015149,""PO BOX 198, ESCANABA, MI"",DELTA,DON PYLE - (906) 786-9056,,DON PYLE - (906) 786-9056,3),Solid Waste Processing Plant,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,484934 - DENT DISPOSAL,DENT DISPOSAL,""100 W WHEATLAND AVE, REMUS, MI"",,""100 W WHEATLAND AVE, REMUS, MI"",MECOSTA,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,392562 - DETROIT EDISON CO,DETROIT EDISON CO RANGE RD ASH DISPOSAL,""3600 RANGE RD, SAINT CLAIR, MI"",MID000721563,""1 ENERGY PLZ, RM 655 GO, DETROIT, MI"",ST CLAIR,DENNIS LEONARD - (734) 479-4017,,SHAYNE WIESEMANN - (313) 235-3147,1),Type III Existing Industrial Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,392616 - DETROIT EDISON CO,DETROIT EDISON CO SIBLEY QUARRY,""803 FORT ST, TRENTON, MI"",MID000722462,""1 ENERGY PLZ, RM 655 GO, DETROIT, MI"",WAYNE,DENNIS  LEONARD - (734) 479-4017,,SHAYNE WIESEMANN - (313) 235-3147,1),Type III Existing Industrial Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,452205 - DINVERNO INC,DINVERNO RECYCLING AND TRANSFER FACILITY,""4600 E NEVADA ST, DETROIT, MI"",MIG000022311,""14620 DEQUINDRE ST, DETROIT, MI"",WAYNE,CHRISTINA PEARSE BOSSICK - (734) 397-4523,,(no contact) - (no phone),1),Solid Waste Processing Plant,Active - Closing"
"All Solid Waste Disposal Areas Report,452205 - DINVERNO INC,DINVERNO RECYCLING AND TRANSFER FACILITY,""4600 E NEVADA ST, DETROIT, MI"",MIG000022311,""14620 DEQUINDRE ST, DETROIT, MI"",WAYNE,CHRISTINA PEARSE BOSSICK - (734) 397-4523,,(no contact) - (no phone),2),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,397800 - DTE/EDISON,DTE MONROE POWER PLANT,""3500 E FRONT ST, MONROE, MI"",MID092175074,""1 ENERGY PLZ, RM 655 GO, DETROIT, MI"",MONROE,DENNIS LEONARD - (313) 235-8714,,Claire Jennings - (734) 384-2562,1),Type III Surface Impoundment,Active - Accepting"
"All Solid Waste Disposal Areas Report,436209 - DWIGHT ANDERSON LANDFILL PROJECT,SUPERIOR SANITATION LANDFILL,""1 STEINBECK RD, RUDYARD, MI"",MIP000000319,""1668 5TH AVE, APT NO 4, OKEMOS, MI"",CHIPPEWA,DWIGHT ANDERSON - (517) 347-1619,,DWIGHT ANDERSON - (517) 347-1619,1),Type II MSW Landfill,Active - Closing"
"All Solid Waste Disposal Areas Report,478794 - EAGLE SANITATION,EAGLE SANITATION,""14801 MEYERS RD, DETROIT, MI"",,""14801 MEYERS RD, DETROIT, MI"",WAYNE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470361 - EAST JORDAN IRONS WORKS,EAST JORDAN IRON WORKS FOUNDRY SAND DISPOSAL AREA,""DENNIS RD, EAST JORDAN, MI"",,""301 SPRING ST, EAST JORDAN, MI"",CHARLEVOIX,RICHARD HODGE - (231) 536-7058,EAST JORDAN IRON WORKS FOUNDRY SAND DISPOSAL AREA,RICHARD HODGE - (231) 536-2261,1),Type III Industrial Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,465841 - EATON COUNTY LANDFILL,EATON COUNTY LANDFILL,""1045 INDEPENDENCE BLVD, CHARLOTTE, MI"",,""1045 INDEPENDENCE BLVD, CHARLOTTE, MI"",EATON,(no contact) - (no phone),,(no contact) - (no phone),1),Type II MSW Landfill,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,399611 - EDWARD C LEVY CO LANDFILL,EDWARD C LEVY CO LANDFILL,""21280 PENNSYLVANIA RD, TAYLOR, MI"",MID981101066,""8800 DIX ST, DETROIT, MI"",WAYNE,TOM GREEN - (248) 675-0105,,GREG FALLU - (313) 215-4591,1),Type III Industrial Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,466998 - ELLIS TOWNSHIP TRANSFER,ELLIS TOWNSHIP TRANSFER,""SEC. 22, ELLIS TOWNSHIP, AFTON ROAD, AFTON, MI"",,""6916 CUT OFF RD, AFTON, MI"",CHEBOYGAN,(no contact) - (no phone),ELLIS TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,466317 - ELMER TOWNSHIP TRANSFER STATION,ELMER TOWNSHIP TRANSFER STATION,""1747 W KITTLE RD, MIO, MI"",,""1747 W KITTLE RD, MIO, MI"",OSCODA,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470363 - EMMET COUNTY DEPARTMENT OF PUBLIC WORKS,EMMET COUNTY TRANSFER FACILITY,""7363 S PLEASANTVIEW RD, HARBOR SPRINGS, MI"",,""200 DIVISION ST, PETOSKEY, MI"",EMMET,ELISA SELTZER - (616) 348-0640,,ELISA SELTZER - (616) 348-0640,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,441718 - EMTERRA ENVIRONMENTAL USA CORP. DBA PORT HURON TRANSFER FACILITY,EMTERRA ENVIRONMENTAL USA CORP. DBA PORT HURON TRANSFER FACILITY,""4132 DOVE RD, PORT HURON, MI"",MIG000043602,""3056 DAVISON RD, LAPEER, MI"",ST CLAIR,(no contact) - (no phone),,FREDERICK HAMBLETON - (248) 255-2951,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,396738 - ENVIROSOLIDS LLC,ENVIROSOLIDS LLC,""6011 WYOMING ST, DEARBORN, MI"",MID064191471,""6011 WYOMING ST, DEARBORN, MI"",WAYNE,LYLE SALSBURY - (313) 582-8032,,(no contact) - (no phone),1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,399367 - EQ DETROIT INC,EQ DETROIT INC,""1923 FREDERICK ST, DETROIT, MI"",MID980991566,""1923 FREDERICK ST, DETROIT, MI"",WAYNE,JAMES KREGER - (313) 923-0080,,STEVE SCHNEIDER - (313) 923-0080,1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,395326 - ESCANABA PAPER COMPANY,ESCANABA PAPER COMPANY,""7100 COUNTY  426 M.5 RD, ESCANABA, MI"",MID030179782,""PO BOX 757, ESCANABA, MI"",DELTA,KEN DEIHN - (906) 233-3145,,KEN DIEHN - (906) 233-3145,1),Type III Industrial Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,395326 - ESCANABA PAPER COMPANY,ESCANABA PAPER COMPANY,""7100 COUNTY  426 M.5 RD, ESCANABA, MI"",MID030179782,""PO BOX 757, ESCANABA, MI"",DELTA,KEN DEIHN - (906) 233-3145,,KEN DIEHN - (906) 233-3145,2),Type III Low Hazardous Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,""478636 - EVER-GREEN LANDFILL AND RECYCLING CENTER, LLC"",""EVER-GREEN LANDFILL AND RECYCLING CENTER, LLC"",""15953 STATE HIGHWAY M38, ONTONAGON, MI"",,""10 SUPERIOR WAY, Ontonagon, MI"",ONTONAGON,PAT TUCKER - (906) 884-6155,,(no contact) - (no phone),1),Type III Low Hazardous Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,""478636 - EVER-GREEN LANDFILL AND RECYCLING CENTER, LLC"",""EVER-GREEN LANDFILL AND RECYCLING CENTER, LLC"",""15953 STATE HIGHWAY M38, ONTONAGON, MI"",,""10 SUPERIOR WAY, Ontonagon, MI"",ONTONAGON,PAT TUCKER - (906) 884-6155,,(no contact) - (no phone),2),Type III Low Hazardous Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,486514 - EVERETT TOWNSHIP TRANSFER STATION,EVERETT TOWNSHIP TRANSFER STATION,""2420 S SPRUCE AVE, WHITE CLOUD, MI"",,""PO BOX 979, WHITE CLOUD, MI"",NEWAYGO,(no contact) - (no phone),EVERETT TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,466207 - EXPRESS SERVICE/METRO SANITATION,EXPRESS SERVICE/METRO SANITATION,""22001 HOOVER RD, WARREN, MI"",,""22001 HOOVER RD, WARREN, MI"",MACOMB,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470355 - FEDERAL-MOGUL POWERTRAIN SYSTEMS,SPARTA FOUNDRY WASTE FACILITY,""9737 LAUBACH AVE, SPARTA, MI"",,""200 MAPLE ST, SPARTA, MI"",KENT,DONNA SPYTMA - (616) 887-8231,SPARTA FOUNDRY WASTE FACILITY,DAVID MANKE - (616) 887-6408,1),Type III Industrial Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,399042 - FORD MOTOR COMPANY,FORD MOTOR CO ALLEN PK CLAY MINE LF,""17005 OAKWOOD BLVD, ALLEN PARK, MI"",MID980568711,""290 TOWN CENTER DR, STE 800, DEARBORN, MI"",WAYNE,ANDREW HOBBS - (313) 845-5802,,ANDREW HOBBS - (313) 845-5802,1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,399441 - FOREST LAWN LANDFILL INC,FOREST LAWN LANDFILL INC,""8230 FOREST LAWN RD, THREE OAKS, MI"",MID980997688,""8230 FOREST LAWN RD, THREE OAKS, MI"",BERRIEN,FRANK CAMILLI - (269) 756-9252,,FRANK CAMILLI - (269) 756-9252,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,480748 - FOREST TOWNSHIP TRANSFER STATION,FOREST TOWNSHIP TRANSFER STATION,""9148 S BLACK RIVER RD, ONAWAY, MI"",,""#, FOREST TOWNSHIP, ONAWAY, MI"",PRESQUE ISLE,(no contact) - (no phone),FOREST TOWNSHIP TRANSFER STATION,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,466050 - FOSTER TOWNSHIP TRANSFER STATION,FOSTER TOWNSHIP TRANSFER STATION,""CLEAR LAKE RD, WEST BRANCH, MI"",,""2782 HORSESHOE LAKE ROAD, WEST BRANCH, MI"",OGEMAW,(no contact) - (no phone),FOSTER TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,466299 - FREDERIC TOWNSHIP SOLID WASTE TRANSFER STATION,FREDERIC TOWNSHIP SOLID WASTE TRANSFER STATION,""PO BOX 78, FREDERIC, MI"",,""PO BOX 78, FREDERIC, MI"",CRAWFORD,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,480150 - FREEMAN TOWNSHIP TRANSFER STATION,FREEMAN TOWNSHIP TRANSFER STATION,""SECTION 22, FREEMAN TOWNSHIP, LAKE, MI"",,""1571 SPRING AVE, LAKE, MI"",CLARE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,465662 - FRUITLAND TOWNSHIP TRANSFER STATION,FRUITLAND TOWNSHIP TRANSFER STATION,""SECTION 17, T11N, R17W, MICHILLINDA ROAD, WHITEHALL, MI"",,""4545 NESTROM RD, WHITEHALL, MI"",MUSKEGON,(no contact) - (no phone),FRUITLAND TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,466328 - GARFIELD TOWNSHIP TRANSFER STATION,GARFIELD TOWNSHIP TRANSFER STATION,""LAKE STATION AVE, LAKE, MI"",,""LAKE STATE AVE, LAKE, MI"",CLARE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,477424 - GASPER BROTHERS RECYCLING INC,GASPER RECYCLING,""9292 OAKVILLE WALTZ RD, WILLIS, MI"",,""9292 OAKVILLE WALTZ RD, WILLIS, MI"",WASHTENAW,SHERRIE GASPER - (734) 587-3710,GASPER RECYCLING,RONALD GASPER - (734) 587-3710,1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,437730 - GEORGIA-PACIFIC LLC,G-P CHARLESTON MICHIGAN LANDFILL,""2042 S 40TH ST, CLIMAX, MI"",MIG000051037,""951 COUNTY STREET, MILAN, MI"",KALAMAZOO,DON KRUG - (269) 383-5440,,ROBERT MILLER - (269) 383-5344,1),Type III Low Hazardous Waste Landfill,Post-Closure"
