Report Submission Source,Report Number,Multiple Rows per Incident,Report Type,Date of Incident,Time of Incident,NRC Number,Federal DOT Agency Name,Federal DOT Report Number,Incident City,Incident County,Incident State,Incident Postal Code,Incident Non-US State,Incident Country,Incident Route,Mode of Transportation,Transportation Phase,Carrier/Reporter Name,Carrier/Reporter Street Name,Carrier/Reporter City,Carrier/Reporter State,Carrier/Reporter Postal Code,Carrier/Reporter Non-US State,Carrier/Reporter FED DOT ID,Carrier/Reporter HAZMAT Reg ID,Carrier/Reporter Country,Shipper Name,Shipper Street Name,Shipper City,Shipper State,Shipper Postal Code,Shipper Non-US State,Shipper Country,Shipper Waybill/Shipping Paper,Shipper HAZMAT Registration ID,Origin City,Origin State,Origin Postal Code,Origin Non-US State,Origin Country,Destination City,Destination State,Destination Postal Code,Destination Non-US State,Destination Country,Commodity Short Name,Commodity Long Name,Technical/Trade Name,Identification Number,Hazardous Class Code,Hazardous Class,Packing Group,Quantity Released,Unit of Measure,HAZMAT Waste Indicator,HAZMAT Waste EPA Number,HMIS Toxic by Inhalation Ind,TIH Hazard Zone,Material Shipment Approval Ind,Material Shipment Approval Nbr,Undeclared HAZMAT Shipment Ind,Packaging Type,What Failed Code,What Failed Description,How Failed Code,How Failed Description,Failure Cause Code,Failure Cause Description,Identification Markings,Cont1 Packaging Type,Cont1 Material of Construction,Cont1 Head Type,Cont1 Package Capacity,Cont1 Package Capacity UOM,Cont1 Package Amount,Cont1 Package Amount UOM,Cont1 Pkg Number in Shipment,Cont1 Pkg Shipment Nbr Failed,Cont1 Package Manufacturer,Cont1 Pkg Manufacturer Date,Cont1 Package Serial Number,Cont1 Package Last Test Date,Cont1 Test Material Of Const,Cont1 Pkg Dsign Pressure Rpted,Cont1 Dsign Pressure UOM Rpted,Cont1 Pkg Shell Thickness Rptd,Cont1 Shell Thickness UOM Rptd,Cont1 Head Thickness Reported,Cont1 Head Thickness UOM Rpted,Cont1 Pkg Srvc Pressure Rpted,Cont1 Srvc Pressure UOM Rpted,Cont1 Valve or Device Fail Ind,Cont1 Valve or Device Type,Cont1 Val Device Manufacturer,Cont1 Valve or Device Model,Cont2 Package Type,Cont2 Material of Construction,Cont2 Package Capacity,Cont2 Capacity UOM Reported,Cont2 Package Amount,Cont2 Package Amount UOM,Cont2 Pkg Number in Shipment,Cont2 Pkg Shipment Nbr Failed,RAM Package Category,RAM Package Certification,RAM Package Certification Nbr,RAM Nuclide(s) Present,RAM Transport Index,RAM UOM,RAM Activity Rpted,RAM UOM Rpted,RAM Activity,RAM Activity UOM,RAM Material Safety Index,Spillage (Result) Ind,Fire (Result) Ind,Explosion (Result) Ind,Water Sewer (Result) Ind,Gas Dispersion (Result) Ind,Environmental Damage (Result),No Release (Result) Ind,Fire/EMS Report Ind,Fire EMS/EMS Report Nbr,Police Report Ind,Police Report Nbr,In-House Cleanup Ind,Other Cleanup Ind,Damage More Than 500,Material Loss,Carrier Damage,Property Damage,Response Cost,Remediation Cleanup Cost,Damage Other (Old Form),Total Amount of Damages,HAZMAT Fatality Indicator,HAZMAT Fatalities Employees,HAZMAT Fatalities Responders,HAZMAT Fatality General Public,Total Hazmat Fatalities,Non_HAZMAT Fatality Indicator,Non-HAZMAT Fatalities,HAZMAT Injury Indicator,HAZMAT Hospitalized Employees,HAZMAT Hospitalized Responders,HAZMAT Hospitalized Gen Public,HAZMAT Hospitalized (Old Form),Total Hazmat Hosp Injuries,HAZMAT NonHosp Employees,HAZMAT NonHosp Responders,HAZMAT NonHosp General Public,HAZMAT NonHosp (Old Form),Total Hazmat NonHosp Injuries,Total Hazmat Injuries,Evacuation Indicator,Public Evacuated,Employees Evacuated,Total Evacuated,Total Evacuation Hours,Major Artery Closed,Major Artery Hours Closed,Material Involved in Accident,Estimated Speed,Weather Conditions,Vehicle Overturn,Vehicle Left Roadway/Track,Passenger Aircraft Indicator,Cargo Passenger Baggage Ind,Incident Occurrence,Shipphase Non-Transported Ind,Shipphase Air First Flight Ind,Shipphase Air SubFlight Ind,Shipphase Init Transport Ind,Shipphase Transfer Indicator,Contact Name,Contact Title,Contact Business Name,Contact Street,Contact City,Contact State,Contact Postal Code,Contact Non-US State,Contact Country,Preparer of Incident Report,Description of Events,Recommendations/Actions Taken,HMIS Serious Incident Ind,HMIS Serious Fatality,HMIS Serious Injury,HMIS Serious Flight Plan,HMIS Serious Evacuations,HMIS Serious Major Artery,HMIS Serious Bulk Release,HMIS Serious Marine Pollutant,HMIS Serious Radioactive,HMIS General Package Type,HMIS Container Code,HMIS Container Description,HMIS Bulk Incident Indicator,Undeclared Shipment
Paper,I-2005011081,No,A hazardous material incident,11/19/2004,0400,,,,TAMPA,HILLSBOROUGH,FL,,,US,8411 FLORIDA MINING BOULEVARD,Highway,UNLOADING,FEDEX GROUND PACKAGE SYSTEM  INC.,1000 FED EX DR,CORAOPOLIS,,15108,PA,265752,,UNITED STATES,BELL-MARK SALES CO.  INC.,4500 W CANAL RD,DOVER,,17315,PA,UNITED STATES,155834060052230,,DOVER,PENNSYLVANIA,17315,,US,DADE CITY,FLORIDA,33525,,US,PRINTING INK  FLAMMABLE ,PRINTING INK  FLAMMABLE OR PRINTING INK RELATED MATERIAL (INCLUDING PRINTING INK THINNING OR REDUCING COMPOUND)  FLAMMABLE,,UN1210,3,FLAMMABLE - COMBUSTIBLE LIQUID,,0.007813,LGA,No,,No,,No,,No,Non-Bulk,109; 103,Closure (e.g.  Cap  Top  or Plug); Basic Material,; ,; ,526; 538,Loose Closure  Component  or Device; Water Damage,,,,,4,LGA,,,1,1,NOT REPORTED BY CARRIER,,,,,,,,,,,,,No,,,,,,1,LGA,,,4,1,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,No,No,No,0,0,0,0,425,0,425,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,SCOTT KERR,HAZARDOUS MATERIALS MGR,,,,,,,US,,THE PACKAGE WAS UNLOADED WITH LEAKAGE NOTED ON THE BOX.  EXAMINATION OF THE INNER CONTAINER REVEALED THAT THE CONTAINER(S) HAD LOOSE CAP(S) AND LEAKED. THE LEAKAGE WAS CONTAINED.  THE CAP(S) WERE SECURED.  THE CARTON WAS WET BUT OTHERWISE UNDAMAGED.  THE UNDAMAGED PORTION OF THE PACKAGE WAS REPACKED FOR RETURN TO SHIPPER.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,4G,Fiberboard box,No,No
Paper,I-1991020711,No,A hazardous material incident,02/07/1991,0815,,,,FRANKLIN,VENANGO,PA,,,US,803 ATLANTIC AVE,Highway,UNLOADING,ROADWAY EXPRESS  INC.,557 E TALLMADGE AVE,AKRON,,44310,OH,290893,,UNITED STATES,FISHER SCIENTIFIC CO,4901 W LE MOYNE AVE,CHICAGO,,60651,IL,UNITED STATES,311-781084,,CHICAGO,ILLINOIS,60651,,US,TITUSVILLE,PENNSYLVANIA,16354,,US,HYDROCHLORIC ACID  SOLUT,HYDROCHLORIC ACID  SOLUTION,HYDROCHLORIC ACID,UN1789,8,CORROSIVE MATERIAL,,0.031250,LGA,No,,No,,No,,No,Non-Bulk,103,Basic Material,305,Crushed,511,Dropped,,,,,0.1250,LGA,,,1,1,NOT REPORTED BY CARRIER,,,,,,,,,,,,,No,,,,,,0.1250,LGA,,,1,1,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,No,No,No,35,0,0,0,25,0,60,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,SUSAN CAMARA,HAZMAT SPECIALIST,,,,,,,US,,DOCK CHECKER WAS UNLOADING TRAILER AT DOCK.  WHEN HE PULLED ONE SKID OUT  A PACKAGE FELL OFF THE SKID AND STRUCK THE FLOOR OF THE DOCK.  THE AREA WAS CLEARED IMMEDIATELY AND THE LEAKING PACKAGE WAS PLACED IN A RECOVERY DRUM.  SAND WAS USED TO COVER THE SPILLAGE AND REDUEC VAPORS.  SHIPPER WAS NOTIFIED AND ADVISED THAT SAND SHOULD BE PLACED RECOVERY DRUM AND AREA WASHED WITH WATER.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,No
Paper,I-2005080186,No,A hazardous material incident,04/07/2005,1854,,,,WESCOVILLE,LEHIGH,PA,18106,,US,6923 SCHANTZ ROAD,Highway,IN TRANSIT STORAGE,ABX AIR  INC.,145 HUNTER DR,WILMINGTON,,45177,OH,392830,072503550018LN,UNITED STATES,ACUITY BRANDS 365,10 FADEM RD,SPRINGFIELD,,07081,NJ,UNITED STATES,71030337280,,SPRINGFIELD,NEW JERSEY,07081,,US,WHITE PLAINS,NEW YORK,10603,,US,SULFURIC ACID,SULFURIC ACID,LIQUIDATE,UN1830,8,CORROSIVE MATERIAL,II,0.015625,LGA,No,,No,,No,,No,Non-Bulk,109,Closure (e.g.  Cap  Top  or Plug),308,Leaked,517,Improper Preparation for Transportation,,Box,Fiberboard,,0,,0,,1,0,,,,,,,,,,,,,,No,,,,Bottle,Plastic,32,LOZ,32,LOZ,12,2,,FALSE,,,,,,,0,,,Yes,No,No,No,No,No,No,No,,No,,No,Yes,Yes,0,0,0,1829,0,0,1829,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No, THERESA ANTHONY ,HAZARDOUS MATERIAL SPECIALIST,,,,,,,,Carrier,FILE 05-103-D/SHIPPER: ACUITY BRANDS 365 AWB# ELZ 71030337280 HPN  ON 4-07-2005 AT 1854  THE HAZ-MAT HOTLINE RECEIVED A CALL FROM THE WESCOSVILLE REGIONAL HUB STATION LOCATED AT 6923 SCHANTZ ROAD WESCOSVILLE  PA 18106.  MICHAEL JOHNSON / LEAD SPILL TECHNICIAN REPORTED THAT THEY HAD A LEAKING SHIPMENT.  THE HOTLINE CONTACTED THE HMHTTC SPILL RESPONSE TEAM.  UPON ARRIVAL THEY FOUND A FIBERBOARD BOX THAT LEAKED 2 OUNCES OF A HAZARDOUS MATERIAL  SULFURIC ACID  CLASS 8 UN1830.  THE TEAM DISCOVERED THE SHIPMENT HAD LEAKED DUE TO LOOSE CLOSURES.  THE PACKAGE ARRIVED INTO THE MP STATION VIA TRUCK #4999.  THIS SHIPMENT WAS PROPERLY MARKED/LABELED AND HAD A SHIPPERS DECLARATION FOR DANGEROUS GOODS ATTACHED TO AND ACCOMPANYING IT TO INDICATE THAT THIS WAS A REGULATED HAZARDOUS MATERIAL.  CLEAR OF SCENE: 2125.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,No
Paper,I-1993010324,No,A hazardous material incident,12/02/1992,0750,,,,LEXINGTON,FAYETTE,KY,,,US,147 S FORBES ROAD,Highway,UNLOADING,FEDEX GROUND PACKAGE SYSTEM  INC.,1000 FED EX DR,CORAOPOLIS,,15108,PA,265752,,UNITED STATES,AT&T MICROELECTRONICS POWER SYSTEMS,2701 S SHILOH RD,GARLAND,,75041,TX,UNITED STATES,7527539830329144,,GARLAND,TEXAS,75041,,US,WINCHESTER,KENTUCKY,40391,,US,TOLUENE,TOLUENE,TOLUENE EXXON,UN1294,3,FLAMMABLE - COMBUSTIBLE LIQUID,,0.007813,LGA,No,,No,,No,,No,Non-Bulk,103; 103,Basic Material; Basic Material,304; ,Cracked; ,511; 538,Dropped; Water Damage,,,,,0.25,LGA,,,1,1,LOVE BOX CO INC,,,,,,,,,,,,,No,,,,,,0.25,LGA,,,1,1,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,No,No,No,100,0,0,0,25,0,125,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,SCOTT C MORRISON,HAZARDOUS MATERIALS COORD,,,,,,,US,,PACKAGE WAS DROPPED IN HANDLING. EXAMINATION OF THE INNER CONTAINERS REVEALED THAT THE GLASS BOTTLE(S) HAD BROKEN. THE LEAKAGE WAS CONTAINED. CARTON WAS WET BUT OTHERWISE UNDAMAGED. PACKAGE WAS REPACKED FOR RETURN TO THE SHIPPER.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,No
Web,E-2006020075,No,A hazardous material incident,02/02/2006,1715,787101,,,EAST GRANBY,HARTFORD,CT,06026,,US,370 US Airportway,Air,IN TRANSIT,THE BRINK'S COMPANY,1801 BAYBERRY CT STE 400,RICHMOND,,23226,VA,0,,UNITED STATES,DUR-A-FLEX  INC.,95 GOODWIN ST,EAST HARTFORD,,06108,CT,UNITED STATES,705537685,,EAST HARTFORD,CONNECTICUT,06108,,US,BOISE,IDAHO,83714,,US,TOXIC LIQUIDS  ORGANIC  ,TOXIC LIQUIDS  ORGANIC  N.O.S.,TETRACHLOROETHYLENE,UN2810,6.1,POISONOUS MATERIALS,III,0.124165,LGA,No,,Yes,B  ,No,,No,Non-Bulk,129,Inner Receptacle,308,Leaked,517,Improper Preparation for Transportation,,Box,Fiberboard,,0.124165,LGA,0.124165,LGA,1,1,,,,,,,,,,,,,,No,,,,Bottle,Plastic,0.47,LLT,0.47,LLT,1,1,,FALSE,,,,,,,0,,,Yes,No,No,No,Yes,No,No,No,,No,,No,Yes,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,Yes,0,15,15,3,No,0,No,0,,No,No,No,,BY SURFACE TO/FROM AIRPORT,Yes,No,No,No,No,MATT TESTA,COMPLIANCE ASSOCIATE,SPILL CENTER  INC.,22 KANE INDUSTRIAL DRIVE ,HUDSON,MA,01749,,US,Other-as agent for BAX Global/,According to the information obtained the following occurred.  While unloading  one leaking carton containing 0.47 liters was discovered leaking.  Approximately 0.47 liters of free product were released.  The release was due to improper packaging.  The dock area was evacuated and the Bradley Airport Fire Department was notified of the incident.  The Bradley Airport Fire Department evacuated the entire facility for safety reasons.  Environmental Services  Inc. of South Windsor  CT was dispatched to perform the cleanup.  Environmental Services  Inc. performed the cleanup using absorbents.  The cleanup materials and wet carton with entire contents was placed into a 5-gallon plastic drum which was transported by Environmental Services  Inc. to their facility in South Windsor  CT for disposal.  The Material Safety Data Sheet was requested and received.,Since the release was accidental and may have been the result of a packaging failure  no actions have been taken to prevent recurrence.,No,No,No,No,Yes,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,No
Paper,I-2008080041,No,A hazardous material incident,07/15/2008,2300,,,,ELLENWOOD,SPALDING,GA,30224,,US,4700 HWY 42,Highway,UNLOADING,HOLLAND INC.,750 E 40TH ST,HOLLAND,,49423,MI,75806,061406002007OQ,UNITED STATES,EXEL INC.,205 COPPER TOP LN NE,CLEVELAND,,37312,TN,UNITED STATES,1041846085,,ELGIN,ILLINOIS,60120,,US,ELGIN,ILLINOIS,60120,,US,PAINT INCLUDING PAINT  L,PAINT INCLUDING PAINT  LACQUER  ENAMEL  STAIN  SHELLAC SOLUTIONS  VARNISH  POLISH  LIQUID FILLER AND LIQUID LACQUER BASE,BLACK WINGTACK,UN1263,3,FLAMMABLE - COMBUSTIBLE LIQUID,II,0.007813,LGA,No,,No,,No,,No,Non-Bulk,104,Body,309,Punctured,513,Forklift Accident,,Box,Fiberboard,,4,LGA,4,LGA,1,1,,,,,,,,,,,,,,No,,,,Can,Metal (any type),1,LGA,1,LGA,4,1,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,Yes,No,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,MICHAEL N WINDSOR,MANAGER - HAZARDOUS MATERIALS,USF HOLLAND,750 E 40TH,Holland,MI,49423,,US,Carrier,ONE BOX WAS DAMAGED WITH THE FORKLIFT WHEN UNLOADED. THE DAMAGED BOX WAS PLACED IN A PLASTIC LINED PROPERLY MARKED AND LABELED OVERPACK. THE SHIPPER WAS NOTIFIED.,RETRAIN FORKLIFT DRIVER,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,No
Paper,I-1998030900,No,A hazardous material incident,12/04/1997,0830,,,,ST LOUIS,ST. LOUIS,MO,,,US,13818 RIDER TRAIL DR 63045,Highway,IN TRANSIT STORAGE,UNITED PARCEL SERVICE  INC.,55 GLENLAKE PKWY,ATLANTA,,30328,GA,21800,,UNITED STATES,CCP COMPOSITES US,1412 KNOX ST,KANSAS CITY,,64116,MO,UNITED STATES,X66407,,KANSAS CITY,MISSOURI,64116,,US,COTTLEVILLE,MISSOURI,63366,,US,RESIN SOLUTION  FLAMMABLE,RESIN SOLUTION  FLAMMABLE,,UN1866,3,FLAMMABLE - COMBUSTIBLE LIQUID,,0,,No,,No,,No,,No,Non-Bulk,109; ,Closure (e.g.  Cap  Top  or Plug); ,; ,; ,526; 530,Loose Closure  Component  or Device; Over-pressurized,,,,,7,LGA,,,1,1,NOT REPORTED BY CARRIER,,,,,,,,,,,,,No,,,,,,7,LGA,,,1,1,,FALSE,,,,,,,,,,No,No,No,No,Yes,No,No,No,,No,,No,No,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,MARK WINSTON,12 HOUR HAZMAT RESPONDER,,,,,,,US,,RESPONSE SHEET: FLAMMABLE LIQUID. NEUTRALIZER ABSORBENT: NONE DISPOSITION: DAMAGED PORTION PROCESSED IN DMP BALANCE RETURNED.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,12B,Boxes,No,No
Paper,I-2004080814,No,A hazardous material incident,08/07/2004,0600,,,,HAGERSTOWN,WASHINGTON,MD,,,US,14527 INDUSTRY DRIVE,Highway,UNLOADING,FEDEX FREIGHT  INC.,2200 FORWARD DR,HARRISON,,72601,AR,1535278,,UNITED STATES,CARBOLINE COMPANY,14 MORRIS AVE,MAPLE SHADE,,08052,NJ,UNITED STATES,636574438,,MAPLE SHADE,NEW JERSEY,08052,,US,LOUISVILLE,KENTUCKY,40219,,US,FLAMMABLE LIQUIDS  N.O.S.,FLAMMABLE LIQUIDS  N.O.S.,CHROMASYSTEM BASEMAKER 7175S,UN1993,3,FLAMMABLE - COMBUSTIBLE LIQUID,,0.75,LGA,No,,No,,No,,No,Non-Bulk,103,Basic Material,305,Crushed,517,Improper Preparation for Transportation,,,,,2,LGA,,,4,1,NOT REPORTED BY CARRIER,,,,,,,,,,,,,No,,,,,,0.50,LGA,,,16,2,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,No,No,No,35,0,0,0,60,0,95,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,DENISE NEAL,HAZARDOUS MATERIALS MGR,,,,,,,US,,THE CARTON WAS DAMAGED BY IMPROPER LOADING CAUSING DAMAGE AND RELEASE.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,No
Paper,I-1990070741,No,A hazardous material incident,07/20/1990,0900,,,,BRIDGEVIEW,COOK,IL,,,US,7300 WEST 71ST STREET,Highway,LOADING,CON-WAY PROPERTIES INC.,2855 CAMPUS DR STE 300,SAN MATEO,,94403,CA,0,,UNITED STATES,VWR INTERNATIONAL LLC,800 E FABYAN PKWY,BATAVIA,,60510,IL,UNITED STATES,CFP309-655242,,BATAVIA,ILLINOIS,60510,,US,BURLINGTON,VERMONT,05405,,US,PHENOL  SOLID,PHENOL  SOLID,CARBOLIC ACID,UN1671,6.1,POISONOUS MATERIALS,,0.1250,LGA,No,,No,,No,,No,Non-Bulk,103,Basic Material,305,Crushed,,,,,,,1.75,LGA,,,3,1,LEWISBURG CONTAINER CO INC,,,,,,,,,,,,,No,,,,,,1.75,LGA,,,3,1,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,No,No,Yes,100,0,0,0,500,0,600,No,0,0,0,0,No,0,Yes,0,0,0,0,0,1,0,0,0,1,1,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,KENT ANSELMENT,FREIGHT OPERATIONS MGR,,,,,,,US,,WHILE BACKING OUT OF TRAILER 17-5134  DOCKMAN  DANIEL AGUILAR  BACKED OVER ONE BOX OF PRO 309-655242 CAUSING DAMAGE TO PACKAGING.  POISON SPILL WAS CONTAINED AND PLACED IN RECOVERY DRUM.  MR AGUILAR WAS DISCIPLINED AND INFORMED OF THE SEVERITY OF HAZARDOUS MATERIAL SPILLS. HERITAGE INDUSTRIES WAS CONTACTED FOR DISPOSITION.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,12A,Boxes NRC*,No,No
Paper,I-2005040267,No,A hazardous material incident,02/18/2005,1630,,,,JEFFERSONVILLE,CLARK,IN,,,US,4885 KEYSTONE BLVD,Highway,UNLOADING,HOLLAND INC.,750 E 40TH ST,HOLLAND,,49423,MI,75806,06090301028LN,UNITED STATES,HORIZON HOBBY  INC.,4105 FIELDSTONE RD,CHAMPAIGN,,61822,IL,UNITED STATES,1180079866,,CHAMPAIGN,ILLINOIS,,,US,CLARKSVILLE,INDIANA,,,US,FLAMMABLE LIQUIDS  N.O.S.,FLAMMABLE LIQUIDS  N.O.S.,ISOPROPANOL,UN1993,3,FLAMMABLE - COMBUSTIBLE LIQUID,II,2,LGA,No,,No,,No,,No,Non-Bulk,103,Basic Material,309,Punctured,513,Forklift Accident,,Box,Fiberboard,,4,LGA,4,LGA,1,1,,,,,,,,,,,,,,No,,,,Can,Metal (any type),1,LGA,1,LGA,4,2,,FALSE,,,,,,,0,,,Yes,No,No,No,No,No,No,No,,No,,Yes,No,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,SUSAN CAMARA,MANAGER REGULATORY COMP,USF HOLLAND INC,750 E 40TH ST,HOLLAND,MI,49423,,US,Carrier,FORKLIFT DRIVER DAMAGED ONE CARTON.  ALL CONTENTS WERE LOST AND EVAPORATED OR WAS ABSORBED WITH OIL DRI FOR DISPOSAL.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,No
Paper,I-2005081298,Yes,Undeclared Shipment with no Release,07/21/2005,0325,,,,LOUISVILLE,JEFFERSON,KY,40213,,US,911 GRADE LANE,Air,IN TRANSIT,UNITED PARCEL SERVICE OF AMERICA  INC.,55 GLENLAKE PKWY,ATLANTA,,30328,GA,0,,UNITED STATES,ALPINE DELICATEEN INC,100 E ROOSEVELT RD STE 8,VILLA PARK,,60181,IL,UNITED STATES,1ZW18A862210000176,,VILLA PARK,ILLINOIS,60181,,US,FORT LAUDERDALE,FLORIDA,33328,,US,DRY ICE,DRY ICE,,UN1845,9,MISCELLANEOUS HAZARDOUS MATERIAL,,0,,No,,No,,No,,Yes,Non-Bulk,,,,,,,,Box,Plastic,,1.8750,LGA,1.25,LGA,1,1,,,,,,,,,,,,,,No,,,,,,10,LLB,10,LLB,1,,,FALSE,,,,,,,0,,,No,No,No,No,No,No,Yes,No,,No,,No,No,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,AIR CARRIER CARGO FACILITY,No,Yes,No,No,No,NICKI SIMON,HAZARDOUS MATERIALS ADMINISTRATIVE ASSISTANT,UPS,911 GRADE LANE,LOUISVILLE,KY,40213,,US,Carrier,RESPONDER WORE REQUIRED PERSONAL PROTECTIVE EQUIPMENT  FOLLOWED THE UPS DECISION TREE AND APPROPRIATE RESPONSE SHEET  CLEANED UP AND REMOVED THE SPILL SAFELY.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,Yes
Paper,I-2007020102,No,A hazardous material incident,01/13/2007,0001,,,,MESQUITE,DALLAS,TX,75149,,US,4300 SAMUELL BLVD.,Highway,LOADING,UNITED PARCEL SERVICE OF AMERICA  INC.,55 GLENLAKE PKWY,ATLANTA,,30328,GA,0,,UNITED STATES,RICCA CHEMICAL COMPANY  LLC,448 W FORK DR,ARLINGTON,,76012,TX,UNITED STATES,1Z7579360349329152,,ARLINGTON,TEXAS,76012,,US,MALVERN,PENNSYLVANIA,19355,,US,ETHANOL SOLUTIONS,ETHANOL SOLUTIONS,,UN1170,3,FLAMMABLE - COMBUSTIBLE LIQUID,II,0.25,LGA,No,,No,,No,,No,Non-Bulk,109,Closure (e.g.  Cap  Top  or Plug),308,Leaked,521,Inadequate Preparation for Transportation,UN/4G/Y20/S/06 USA/+AQ2576,,,,12.50,LGA,4,LGA,1,1,,,,,,,,,,,,,,No,,,,,,1,LGA,1,LGA,4,2,,FALSE,,,,,,,0,,,Yes,No,No,No,No,No,No,No,,No,,Yes,No,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,BRAD COOK,DIRECTOR DANGEROUS GOODS,UNITED PARCEL SERVICE,55 GLENLAKE PKWY,ATLANTA,GA,30328,,US,Carrier,,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,4G,Fiberboard box,No,No
